,geo_level,geo_code,geoid,name,total,Female,Female-Black,Female-Coloured,Female-Indian_Asian,Female-Other,Female-White,Male,Male-Black,Male-Coloured,Male-Indian_Asian,Male-Other,Male-White
0,country,ZA,country-ZA,South Africa,10140505,5101916,4266555,429852,103701,16736,285072,5038589,4184184,423331,112650,28794,289630
1,municipality,WC044,municipality-WC044,George,33651,17037,5541,9254,85,102,2055,16614,5216,8988,82,263,2065
2,municipality,WC047,municipality-WC047,Bitou,7848,3949,2052,1366,30,186,315,3899,1942,1334,18,242,363
3,municipality,WC048,municipality-WC048,Knysna,10874,5560,2398,2578,22,44,518,5314,2204,2481,26,94,509
4,municipality,WC051,municipality-WC051,Laingsburg,1237,617,40,543,0,7,27,620,58,521,0,6,35
5,municipality,WC052,municipality-WC052,Prince Albert,2246,1099,26,1020,1,1,51,1147,31,1030,7,8,71
6,municipality,WC053,municipality-WC053,Beaufort West,8268,4143,763,3121,16,15,228,4125,725,3089,21,34,256
7,municipality,MP303,municipality-MP303,Mkhondo,30969,15752,15141,108,97,15,391,15217,14496,84,128,58,451
8,municipality,MP311,municipality-MP311,Victor Khanye,13693,6588,5669,87,27,8,797,7105,6003,71,40,33,958
9,municipality,MP322,municipality-MP322,Mbombela,127097,65209,60717,768,322,76,3326,61888,57429,669,393,112,3285
10,municipality,NW373,municipality-NW373,Rustenburg,97014,46617,42016,424,306,164,3707,50397,45351,464,410,307,3865
11,municipality,NW384,municipality-NW384,Ditsobotla,30114,15143,13864,331,54,17,877,14971,13533,289,123,59,967
12,municipality,NW396,municipality-NW396,Lekwa-Teemane,9818,4790,4074,368,11,14,323,5028,4258,403,35,27,305
13,municipality,NC062,municipality-NC062,Nama Khoi,7990,3930,152,3581,23,15,159,4060,186,3634,19,45,176
14,municipality,NC071,municipality-NC071,Ubuntu,3106,1536,337,1145,4,7,43,1570,371,1120,7,20,52
15,municipality,NC077,municipality-NC077,Siyathemba,3552,1778,361,1323,6,4,84,1774,361,1300,16,14,83
16,municipality,NC085,municipality-NC085,Tsantsabane,6509,3057,1593,1286,2,9,167,3452,1838,1343,30,37,204
17,municipality,NC094,municipality-NC094,Phokwane,11441,5748,4827,664,7,15,235,5693,4758,604,42,43,246
18,municipality,WC012,municipality-WC012,Cederberg,8700,4293,772,3250,17,3,251,4407,826,3261,22,23,275
19,municipality,WC024,municipality-WC024,Stellenbosch,38264,19661,5631,8468,94,91,5377,18603,5193,8106,104,182,5018
20,municipality,WC033,municipality-WC033,Cape Agulhas,5338,2754,376,2056,10,21,291,2584,399,1805,8,38,334
21,municipality,WC045,municipality-WC045,Oudtshoorn,17288,8527,833,7090,20,40,544,8761,1030,6990,37,83,621
22,municipality,EC102,municipality-EC102,Blue Crane Route,5946,2998,1847,1023,5,19,104,2948,1779,999,13,38,119
23,municipality,EC103,municipality-EC103,Ikwezi,1668,861,317,500,0,0,44,807,332,421,3,14,37
24,municipality,EC104,municipality-EC104,Makana,17519,9137,6798,999,130,35,1175,8382,6137,899,88,78,1180
25,municipality,EC106,municipality-EC106,Sundays River Valley,9620,4404,3243,996,5,26,134,5216,3803,1170,8,94,141
26,municipality,EC107,municipality-EC107,Baviaans,2874,1400,177,1188,5,3,27,1474,169,1247,3,18,37
27,municipality,EC108,municipality-EC108,Kouga,15854,7921,3309,3849,26,25,712,7933,3285,3759,11,152,726
28,municipality,EC109,municipality-EC109,Kou-Kamma,6694,3235,1019,2014,8,27,167,3459,1240,1962,16,94,147
29,municipality,EC121,municipality-EC121,Mbhashe,54971,27420,27245,81,29,16,49,27551,27284,69,55,81,62
30,municipality,EC123,municipality-EC123,Great Kei,7016,3307,3168,38,3,3,95,3709,3544,46,3,4,112
31,municipality,EC124,municipality-EC124,Amahlathi,22788,10844,10590,152,12,4,86,11944,11623,153,9,45,114
32,municipality,EC126,municipality-EC126,Ngqushwa,12064,5657,5624,15,9,1,8,6407,6356,14,9,19,9
33,municipality,EC127,municipality-EC127,Nkonkobe,24894,11945,11290,509,22,20,104,12949,12228,509,34,55,123
34,municipality,EC131,municipality-EC131,Inxuba Yethemba,11495,5552,3137,1941,20,33,421,5943,3432,1987,24,65,435
35,municipality,EC132,municipality-EC132,Tsolwana,6300,3106,2895,172,2,1,36,3194,2974,162,11,11,36
36,municipality,EC133,municipality-EC133,Inkwanca,4184,2062,1915,81,3,5,58,2122,1969,90,1,18,44
37,municipality,EC134,municipality-EC134,Lukanji,37211,18377,17331,638,65,51,292,18834,17593,700,89,126,326
38,municipality,EC136,municipality-EC136,Emalahleni,23475,11139,11028,58,5,18,30,12336,12138,74,36,57,31
39,municipality,EC137,municipality-EC137,Engcobo,30604,15296,15242,20,12,10,12,15308,15200,21,23,43,21
40,municipality,EC138,municipality-EC138,Sakhisizwe,12882,6095,6000,49,6,3,37,6787,6678,40,16,26,27
41,municipality,EC141,municipality-EC141,Elundini,28676,13579,13383,135,1,12,48,15097,14833,136,21,51,56
42,municipality,EC142,municipality-EC142,Senqu,27773,13736,13493,151,18,21,53,14037,13733,171,42,32,59
43,municipality,EC143,municipality-EC143,Maletswai,8216,4222,3762,308,7,7,138,3994,3501,282,25,20,166
44,municipality,EC153,municipality-EC153,Ngquza Hill,59925,29933,29664,184,34,16,35,29992,29644,202,60,63,23
45,municipality,EC154,municipality-EC154,Port St Johns,34543,17463,17339,87,15,4,18,17080,16942,90,24,8,16
46,municipality,EC155,municipality-EC155,Nyandeni,65028,32451,32234,126,43,23,25,32577,32339,135,53,30,20
47,municipality,EC156,municipality-EC156,Mhlontlo,40667,19725,19598,60,22,9,36,20942,20795,64,23,33,27
48,municipality,EC441,municipality-EC441,Matatiele,42319,21155,20819,178,31,19,108,21164,20813,186,73,23,69
49,municipality,EC442,municipality-EC442,Umzimvubu,40584,20219,20089,81,18,5,26,20365,20184,98,23,39,21
50,municipality,EC443,municipality-EC443,Mbizana,60523,31034,30909,75,23,9,18,29489,29331,80,38,20,20
51,municipality,EC444,municipality-EC444,Ntabankulu,26596,13433,13344,76,5,3,5,13163,13047,71,22,15,8
52,municipality,FS161,municipality-FS161,Letsemeng,7119,3435,2450,837,3,3,142,3684,2615,836,13,27,193
53,municipality,FS162,municipality-FS162,Kopanong,8743,4358,3304,848,12,11,183,4385,3320,836,29,27,173
54,municipality,FS163,municipality-FS163,Mohokare,6480,3256,3106,75,2,1,72,3224,3002,76,15,8,123
55,municipality,FS181,municipality-FS181,Masilonyana,11637,5870,5535,68,6,11,250,5767,5387,90,27,25,238
56,municipality,FS182,municipality-FS182,Tokologo,5357,2758,2521,112,2,9,114,2599,2310,124,27,12,126
57,municipality,FS183,municipality-FS183,Tswelopele,8975,4552,4314,57,5,2,174,4423,4128,66,31,14,184
58,municipality,FS184,municipality-FS184,Matjhabeng,78417,39266,35776,863,75,45,2507,39151,35464,895,185,99,2508
59,municipality,FS185,municipality-FS185,Nala,15068,7744,7442,52,8,11,231,7324,6940,49,29,31,275
60,municipality,FS192,municipality-FS192,Dihlabeng,23019,11772,10721,202,41,9,799,11247,10277,199,51,28,692
61,municipality,FS193,municipality-FS193,Nketoana,11611,5847,5572,16,12,8,239,5764,5456,29,20,15,244
62,municipality,FS194,municipality-FS194,Maluti a Phofung,74617,38022,37642,79,47,26,228,36595,36142,83,74,38,258
63,municipality,FS195,municipality-FS195,Phumelela,9017,4561,4352,20,1,7,181,4456,4207,18,30,28,173
64,municipality,FS201,municipality-FS201,Moqhaka,29376,14231,12924,407,30,20,850,15145,13613,465,58,71,938
65,municipality,FS203,municipality-FS203,Ngwathe,21516,10888,9906,320,21,9,632,10628,9601,296,59,56,616
66,municipality,FS204,municipality-FS204,Metsimaholo,27607,13253,11473,80,27,22,1651,14354,12508,112,50,61,1623
67,municipality,FS205,municipality-FS205,Mafube,10962,5593,5336,39,7,6,205,5369,5045,32,27,18,247
68,municipality,GT421,municipality-GT421,Emfuleni,139786,70450,63286,900,456,139,5669,69336,61729,841,624,345,5797
69,municipality,GT423,municipality-GT423,Lesedi,17693,8538,7187,97,71,15,1168,9155,7556,144,113,55,1287
70,municipality,GT481,municipality-GT481,Mogale City,65019,30650,25244,265,544,73,4524,34369,28222,249,922,154,4822
71,municipality,GT482,municipality-GT482,Randfontein,25615,12687,9274,1359,38,43,1973,12928,9454,1323,63,52,2036
72,municipality,GT483,municipality-GT483,Westonaria,20212,9809,9145,73,20,27,544,10403,9608,71,50,57,617
73,municipality,KZN211,municipality-KZN211,Vulamehlo,16086,8131,8078,11,24,3,15,7955,7905,12,22,5,11
74,municipality,KZN212,municipality-KZN212,Umdoni,15349,7691,6494,73,900,16,208,7658,6384,77,958,18,221
75,municipality,KZN213,municipality-KZN213,Umzumbe,33775,16766,16691,24,21,12,18,17009,16934,21,15,19,20
76,municipality,KZN214,municipality-KZN214,UMuziwabantu,20591,10438,10305,85,24,5,19,10153,9979,83,43,20,28
77,municipality,KZN215,municipality-KZN215,Ezingoleni,11106,5549,5510,13,10,4,12,5557,5497,16,14,4,26
78,municipality,KZN221,municipality-KZN221,uMshwathi,22396,11307,11014,21,144,18,110,11089,10708,30,171,37,143
79,municipality,KZN222,municipality-KZN222,uMngeni,17398,8460,7129,158,299,7,867,8938,7153,165,357,28,1235
80,municipality,KZN223,municipality-KZN223,Mpofana,7540,3683,3488,22,60,10,103,3857,3573,34,63,16,171
81,municipality,KZN224,municipality-KZN224,Impendle,6855,3403,3387,2,2,6,6,3452,3429,10,2,2,9
82,municipality,KZN225,municipality-KZN225,The Msunduzi,129978,65927,56541,1721,5233,141,2291,64051,54409,1742,5261,196,2443
83,municipality,KZN226,municipality-KZN226,Mkhambathini,12954,6386,6231,17,48,2,88,6568,6289,28,127,23,101
84,municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,46528,23939,22531,236,774,27,371,22589,21102,210,910,43,324
85,municipality,KZN233,municipality-KZN233,Indaka,21892,11605,11565,19,15,3,3,10287,10226,13,32,4,12
86,municipality,KZN234,municipality-KZN234,Umtshezi,16342,8358,7751,106,401,18,82,7984,7342,96,431,22,93
87,municipality,KZN235,municipality-KZN235,Okhahlamba,26568,13542,13391,12,29,15,95,13026,12827,18,44,22,115
88,municipality,KZN236,municipality-KZN236,Imbabazane,23957,12165,12132,8,10,3,12,11792,11749,10,16,9,8
89,municipality,KZN242,municipality-KZN242,Nqutu,35270,18324,18260,17,21,11,15,16946,16878,19,21,19,9
90,municipality,KZN244,municipality-KZN244,Msinga,36470,19776,19700,12,26,7,31,16694,16630,11,23,15,15
91,municipality,KZN245,municipality-KZN245,Umvoti,21417,11361,10937,96,153,9,166,10056,9624,80,187,33,132
92,municipality,KZN252,municipality-KZN252,Newcastle,76486,38160,36149,257,905,47,802,38326,36077,296,1038,83,832
93,municipality,KZN254,municipality-KZN254,Dannhauser,21809,10793,10610,27,103,6,47,11016,10756,44,157,9,50
94,municipality,KZN261,municipality-KZN261,eDumbe,17039,8603,8497,9,13,11,73,8436,8321,5,25,21,64
95,municipality,KZN262,municipality-KZN262,UPhongolo,28143,14382,14257,11,12,11,91,13761,13606,20,16,14,105
96,municipality,KZN263,municipality-KZN263,Abaqulusi,43891,22010,21379,93,71,22,445,21881,21214,99,83,40,445
97,municipality,KZN265,municipality-KZN265,Nongoma,44069,22894,22783,34,38,16,23,21175,21058,30,35,20,32
98,municipality,KZN266,municipality-KZN266,Ulundi,40779,21269,21164,30,18,24,33,19510,19403,31,30,25,21
99,municipality,KZN272,municipality-KZN272,Jozini,41607,21591,21476,20,32,37,26,20016,19888,20,46,39,23
100,municipality,KZN273,municipality-KZN273,The Big 5 False Bay,7506,3840,3790,6,9,0,35,3666,3606,5,7,4,44
101,municipality,KZN274,municipality-KZN274,Hlabisa,16160,8332,8288,15,9,10,10,7828,7792,8,16,8,4
102,municipality,KZN275,municipality-KZN275,Mtubatuba,37588,19426,19175,68,56,15,112,18162,17918,65,54,23,102
103,municipality,KZN281,municipality-KZN281,Mfolozi,26447,13373,13271,24,30,7,41,13074,12975,26,22,8,43
104,municipality,KZN283,municipality-KZN283,Ntambanana,16641,8461,8426,18,9,4,4,8180,8133,19,16,5,7
105,municipality,KZN284,municipality-KZN284,uMlalazi,45472,23317,22860,98,165,21,173,22155,21721,123,108,66,137
106,municipality,KZN285,municipality-KZN285,Mthonjaneni,9718,5023,4986,12,10,0,15,4695,4643,12,12,12,16
107,municipality,KZN286,municipality-KZN286,Nkandla,24833,13020,12969,15,5,7,24,11813,11773,17,7,7,9
108,municipality,KZN291,municipality-KZN291,Mandeni,29343,14803,14407,78,216,16,86,14540,14168,51,220,21,80
109,municipality,KZN293,municipality-KZN293,Ndwedwe,29707,14990,14823,25,75,50,17,14717,14517,25,84,67,24
110,municipality,KZN294,municipality-KZN294,Maphumulo,20808,11045,11009,14,7,5,10,9763,9721,10,14,9,9
111,municipality,KZN431,municipality-KZN431,Ingwe,20922,10528,10475,13,10,4,26,10394,10316,17,14,16,31
112,municipality,KZN432,municipality-KZN432,Kwa Sani,2289,1041,1008,5,0,3,25,1248,1199,6,4,0,39
113,municipality,KZN434,municipality-KZN434,Ubuhlebezwe,21197,10633,10459,101,28,4,41,10564,10392,87,31,15,39
114,municipality,KZN435,municipality-KZN435,Umzimkhulu,39556,20710,20621,58,15,6,10,18846,18724,51,28,28,15
115,municipality,LIM331,municipality-LIM331,Greater Giyani,57701,29527,29421,26,51,12,17,28174,28059,13,63,17,22
116,municipality,LIM332,municipality-LIM332,Greater Letaba,50158,24823,24678,17,9,12,107,25335,25096,28,23,62,126
117,municipality,LIM333,municipality-LIM333,Greater Tzaneen,82938,41531,40781,51,90,29,580,41407,40492,73,151,81,610
118,municipality,LIM335,municipality-LIM335,Maruleng,20872,10499,10291,29,16,5,158,10373,10125,20,33,19,176
119,municipality,LIM341,municipality-LIM341,Musina,12999,6777,6520,13,18,23,203,6222,5996,17,36,19,154
120,municipality,LIM342,municipality-LIM342,Mutale,20643,10363,10310,9,2,8,34,10280,10195,19,12,21,33
121,municipality,LIM343,municipality-LIM343,Thulamela,144442,72657,72356,50,181,31,39,71785,71345,51,241,99,49
122,municipality,LIM344,municipality-LIM344,Makhado,110235,54757,53997,93,109,19,539,55478,54544,100,151,117,566
123,municipality,LIM351,municipality-LIM351,Blouberg,36613,18568,18508,1,5,19,35,18045,17894,8,41,64,38
124,municipality,LIM353,municipality-LIM353,Molemole,23477,11555,11432,32,11,17,63,11922,11749,24,28,34,87
125,municipality,LIM354,municipality-LIM354,Polokwane,136895,69439,66357,606,321,116,2039,67456,63974,669,431,168,2214
126,municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,48131,24047,23978,19,8,14,28,24084,23976,16,43,26,23
127,municipality,LIM361,municipality-LIM361,Thabazimbi,13428,6226,5354,39,15,15,803,7202,6325,40,15,32,790
128,municipality,LIM362,municipality-LIM362,Lephalale,24147,11157,10492,77,15,13,560,12990,12157,115,50,41,627
129,municipality,LIM365,municipality-LIM365,Modimolle,12537,6244,5840,20,12,8,364,6293,5872,32,47,22,320
130,municipality,LIM366,municipality-LIM366,Bela-Bela,11808,5790,5282,106,32,5,365,6018,5509,103,32,21,353
131,municipality,BUF,municipality-BUF,Buffalo City,142385,72455,64069,4259,425,168,3534,69930,61244,4252,508,405,3521
132,municipality,EC101,municipality-EC101,Camdeboo,9295,4537,1326,2955,19,17,220,4758,1253,3163,38,25,279
133,municipality,EC105,municipality-EC105,Ndlambe,9741,4817,4098,382,8,17,312,4924,4168,372,20,60,304
134,municipality,EC122,municipality-EC122,Mnquma,51967,25464,25307,66,31,12,48,26503,26306,64,41,38,54
135,municipality,EC128,municipality-EC128,Nxuba,4207,2055,1568,423,11,11,42,2152,1615,449,13,19,56
136,municipality,EC135,municipality-EC135,Intsika Yethu,27350,12730,12657,37,8,12,16,14620,14449,62,37,50,22
137,municipality,EC144,municipality-EC144,Gariep,5956,2840,2269,424,2,8,137,3116,2453,520,11,20,112
138,municipality,EC157,municipality-EC157,King Sabata Dalindyebo,105777,54744,54043,389,115,45,152,51033,50211,379,195,120,128
139,municipality,NMA,municipality-NMA,Nelson Mandela Bay,213918,108233,69389,25672,1079,757,11336,105685,66872,24568,1143,1477,11625
140,municipality,FS164,municipality-FS164,Naledi,4789,2445,2354,37,5,0,49,2344,2217,38,18,14,57
141,municipality,FS191,municipality-FS191,Setsoto,21757,11159,10646,110,69,10,324,10598,10069,107,83,27,312
142,municipality,FS196,municipality-FS196,Mantsopa,9794,4962,4585,177,27,11,162,4832,4426,184,28,31,163
143,municipality,MAN,municipality-MAN,Mangaung,152798,77219,65832,3931,267,158,7031,75579,64309,3722,416,299,6833
144,municipality,EKU,municipality-EKU,Ekurhuleni,568058,282271,237728,8229,4622,935,30757,285787,240306,7900,5276,1694,30611
145,municipality,GT422,municipality-GT422,Midvaal,15881,7899,5239,172,76,29,2383,7982,5345,133,47,33,2424
146,municipality,GT484,municipality-GT484,Merafong City,34032,16997,15147,189,42,19,1600,17035,15229,193,64,58,1491
147,municipality,JHB,municipality-JHB,City of Johannesburg,792460,399650,331374,23208,14387,1958,28723,392810,323166,22612,15052,2421,29559
148,municipality,TSH,municipality-TSH,City of Tshwane,550814,278020,226468,5793,3934,1132,40693,272794,220579,5649,4363,1639,40564
149,municipality,ETH,municipality-ETH,eThekwini,710722,359795,286430,8434,50781,1186,12964,350927,276470,8138,51369,1529,13421
150,municipality,KZN216,municipality-KZN216,Hibiscus Coast,50429,25675,23088,379,1097,42,1069,24754,22086,358,1127,51,1132
151,municipality,KZN227,municipality-KZN227,Richmond,12899,6404,6205,64,57,10,68,6495,6279,64,73,13,66
152,municipality,KZN241,municipality-KZN241,Endumeni,13304,6519,5759,180,303,16,261,6785,6042,174,295,17,257
153,municipality,KZN253,municipality-KZN253,Emadlangeni,6654,3139,2996,44,6,2,91,3515,3401,33,2,5,74
154,municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33674,17421,17365,11,15,14,16,16253,16191,11,21,17,13
155,municipality,KZN282,municipality-KZN282,uMhlathuze,73321,38432,35236,316,1209,55,1616,34889,31667,336,1142,94,1650
156,municipality,KZN292,municipality-KZN292,KwaDukuza,45659,23204,19520,221,2793,112,558,22455,18680,210,2869,201,495
157,municipality,KZN433,municipality-KZN433,Greater Kokstad,13749,7151,6491,506,39,13,102,6598,5905,513,51,19,110
158,municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,30481,15535,14961,42,23,6,503,14946,14376,37,28,14,491
159,municipality,LIM352,municipality-LIM352,Aganang,28100,13945,13901,16,0,12,16,14155,14049,11,27,54,14
160,municipality,LIM364,municipality-LIM364,Mookgopong,6135,2918,2745,12,5,8,148,3217,2973,15,13,31,185
161,municipality,LIM367,municipality-LIM367,Mogalakwena,64779,32572,31808,41,113,33,577,32207,31320,48,194,86,559
162,municipality,LIM471,municipality-LIM471,Ephraim Mogale,25364,12551,12405,7,18,19,102,12813,12605,8,44,44,112
163,municipality,LIM472,municipality-LIM472,Elias Motsoaledi,52958,26654,26375,27,27,16,209,26304,25871,29,105,77,222
164,municipality,LIM473,municipality-LIM473,Makhuduthamaga,56976,29058,28979,13,33,14,19,27918,27776,17,73,40,12
165,municipality,LIM474,municipality-LIM474,Fetakgomo,19317,9885,9840,4,3,5,33,9432,9374,0,17,22,19
166,municipality,LIM475,municipality-LIM475,Greater Tubatse,71928,36520,36093,57,48,21,301,35408,34919,64,60,35,330
167,municipality,MP301,municipality-MP301,Albert Luthuli,41826,21373,21096,53,41,21,162,20453,20006,69,138,63,177
168,municipality,MP302,municipality-MP302,Msukaligwa,29164,14619,13301,94,111,30,1083,14545,13151,76,171,65,1082
169,municipality,MP304,municipality-MP304,Pixley Ka Seme,16069,8188,7686,36,80,5,381,7881,7318,61,91,20,391
170,municipality,MP305,municipality-MP305,Lekwa,21497,10404,8994,328,94,15,973,11093,9498,319,122,54,1100
171,municipality,MP306,municipality-MP306,Dipaleseng,7976,3919,3664,24,17,2,212,4057,3752,15,31,10,249
172,municipality,MP307,municipality-MP307,Govan Mbeki,56737,27219,22937,402,370,67,3443,29518,25046,440,415,162,3455
173,municipality,MP312,municipality-MP312,Emalahleni,75645,36366,30968,623,239,62,4474,39279,33419,651,370,237,4602
174,municipality,MP313,municipality-MP313,Steve Tshwete,41768,20152,15677,640,247,54,3534,21616,16707,634,347,121,3807
175,municipality,MP314,municipality-MP314,Emakhazeni,8660,4246,3904,67,23,2,250,4414,4013,65,45,5,286
176,municipality,MP315,municipality-MP315,Thembisile,64731,32691,32484,78,79,28,22,32040,31617,66,202,129,26
177,municipality,MP316,municipality-MP316,Dr JS Moroka,52138,25985,25904,35,26,11,9,26153,25896,42,130,71,14
178,municipality,MP321,municipality-MP321,Thaba Chweu,17549,8556,7214,265,41,39,997,8993,7600,252,62,91,988
179,municipality,MP323,municipality-MP323,Umjindi,12989,6263,5618,152,53,3,437,6726,6067,115,66,16,462
180,municipality,MP324,municipality-MP324,Nkomazi,92704,47455,46790,143,98,35,389,45249,44439,123,247,64,376
181,municipality,MP325,municipality-MP325,Bushbuckridge,125919,64594,64409,84,23,12,66,61325,60990,73,129,58,75
182,municipality,NW371,municipality-NW371,Moretele,35226,17559,17493,23,10,7,26,17667,17507,35,39,62,24
183,municipality,NW372,municipality-NW372,Madibeng,87476,42099,38452,446,143,119,2939,45377,41230,390,324,264,3169
184,municipality,NW374,municipality-NW374,Kgetlengrivier,9279,4510,3804,85,39,21,561,4769,3920,118,45,32,654
185,municipality,NW375,municipality-NW375,Moses Kotane,43099,21334,21103,53,52,26,100,21765,21388,58,120,65,134
186,municipality,NW381,municipality-NW381,Ratlou,19741,10076,9929,88,7,10,42,9665,9462,90,49,19,45
187,municipality,NW382,municipality-NW382,Tswaing,23326,11809,11138,178,9,18,466,11517,10737,239,60,38,443
188,municipality,NW383,municipality-NW383,Mafikeng,59427,30408,29364,595,175,24,250,29019,27737,692,272,71,247
189,municipality,NW385,municipality-NW385,Ramotshere Moiloa,27003,13585,13010,122,68,33,352,13418,12745,135,107,64,367
190,municipality,NW392,municipality-NW392,Naledi,11876,6016,4584,987,59,40,346,5860,4477,852,58,67,406
191,municipality,NW393,municipality-NW393,Mamusa,11189,5604,5256,119,13,9,207,5585,5168,148,45,18,206
192,municipality,NW394,municipality-NW394,Greater Taung,33812,17298,17043,195,18,22,20,16514,16162,187,68,43,54
193,municipality,NW397,municipality-NW397,Kagisano/Molopo,18762,9703,9411,158,5,25,104,9059,8710,147,44,32,126
194,municipality,NW401,municipality-NW401,Ventersdorp,9917,4956,4530,165,6,71,184,4961,4491,173,28,76,193
195,municipality,NW402,municipality-NW402,Tlokwe City Council,33843,17228,10939,1174,180,56,4879,16615,10864,1025,214,119,4393
196,municipality,NW403,municipality-NW403,City of Matlosana,71392,35692,30505,1288,221,60,3618,35700,30115,1262,408,141,3774
197,municipality,NW404,municipality-NW404,Maquassi Hills,14363,7221,6606,198,21,12,384,7142,6507,191,58,35,351
198,municipality,NC061,municipality-NC061,Richtersveld,1772,831,103,672,5,6,45,941,107,784,3,13,34
199,municipality,NC064,municipality-NC064,Kamiesberg,1604,741,55,663,2,2,19,863,50,778,6,7,22
200,municipality,NC065,municipality-NC065,Hantam,3445,1675,71,1505,10,3,86,1770,73,1582,10,16,89
201,municipality,NC066,municipality-NC066,Karoo Hoogland,1765,903,72,780,13,4,34,862,69,723,13,3,54
202,municipality,NC067,municipality-NC067,Khâi-Ma,2260,1078,244,795,2,9,28,1182,345,771,7,12,47
203,municipality,NC072,municipality-NC072,Umsobomvu,4868,2420,1582,759,7,15,57,2448,1609,734,13,29,63
204,municipality,NC073,municipality-NC073,Emthanjeni,7322,3669,1179,2275,14,7,194,3653,1233,2182,29,29,180
205,municipality,NC074,municipality-NC074,Kareeberg,1871,964,43,885,2,1,33,907,60,796,5,5,41
206,municipality,NC075,municipality-NC075,Renosterberg,1727,821,270,514,5,2,30,906,334,529,7,2,34
207,municipality,NC076,municipality-NC076,Thembelihle,2755,1373,225,1020,0,2,126,1382,216,1005,14,12,135
208,municipality,NC078,municipality-NC078,Siyancuma,6346,3159,1019,1929,21,37,153,3187,992,1965,23,59,148
209,municipality,NC081,municipality-NC081,Mier,1223,617,24,579,8,0,6,606,41,545,3,6,11
210,municipality,NC082,municipality-NC082,Kai !Garib,14201,6621,2611,3651,38,133,188,7580,3497,3622,49,199,213
211,municipality,NC083,municipality-NC083,//Khara Hais,17179,8552,2002,5888,34,68,560,8627,2129,5744,70,132,552
212,municipality,NC084,municipality-NC084,!Kheis,2615,1303,70,1177,6,10,40,1312,110,1114,21,21,46
213,municipality,NC086,municipality-NC086,Kgatelopele,3319,1619,809,715,8,7,80,1700,835,721,12,19,113
214,municipality,NC091,municipality-NC091,Sol Plaatjie,44776,22544,14188,6471,203,523,1159,22232,13976,6325,254,524,1153
215,municipality,NC092,municipality-NC092,Dikgatlong,8219,4130,2417,1297,19,313,84,4089,2380,1238,30,335,106
216,municipality,NC093,municipality-NC093,Magareng,4386,2150,1755,321,7,1,66,2236,1800,339,22,5,70
217,municipality,NC451,municipality-NC451,Joe Morolong,16219,8420,8190,155,7,11,57,7799,7510,135,49,22,83
218,municipality,NC452,municipality-NC452,Ga-Segonyana,17961,9047,8076,668,17,29,257,8914,7876,692,54,52,240
219,municipality,NC453,municipality-NC453,Gamagara,7517,3534,1917,1158,15,73,371,3983,2271,1172,27,77,436
220,municipality,CPT,municipality-CPT,City of Cape Town,684630,349626,160984,145162,4394,4145,34941,335004,144987,143559,4859,6526,35073
221,municipality,WC011,municipality-WC011,Matzikama,12186,6069,589,4804,37,63,576,6117,736,4692,37,88,564
222,municipality,WC013,municipality-WC013,Bergrivier,10633,5570,1062,3959,17,20,512,5063,726,3733,27,51,526
223,municipality,WC014,municipality-WC014,Saldanha Bay,17815,8917,2611,5224,76,33,973,8898,2606,5113,80,102,997
224,municipality,WC015,municipality-WC015,Swartland,20481,10391,2537,6894,45,44,871,10090,2366,6685,57,109,873
225,municipality,WC022,municipality-WC022,Witzenberg,22253,10538,2791,7255,22,49,421,11715,3610,7294,46,95,670
226,municipality,WC023,municipality-WC023,Drakenstein,48637,24067,6095,15021,112,145,2694,24570,6248,15500,110,262,2450
227,municipality,WC025,municipality-WC025,Breede Valley,30755,15501,4185,10057,72,144,1043,15254,4122,9701,103,162,1166
228,municipality,WC026,municipality-WC026,Langeberg,17191,8651,1558,6479,18,56,540,8540,1509,6373,19,102,537
229,municipality,WC031,municipality-WC031,Theewaterskloof,19212,9337,2672,6141,24,59,441,9875,3156,6046,35,140,498
230,municipality,WC032,municipality-WC032,Overstrand,11665,5940,2870,2235,14,46,775,5725,2746,2135,27,83,734
231,municipality,WC034,municipality-WC034,Swellendam,6109,2959,407,2297,6,21,228,3150,537,2282,12,48,271
232,municipality,WC041,municipality-WC041,Kannaland,4238,2101,120,1864,5,11,101,2137,122,1891,3,8,113
233,municipality,WC042,municipality-WC042,Hessequa,7662,3913,262,3155,24,5,467,3749,313,2953,21,22,440
234,municipality,WC043,municipality-WC043,Mossel Bay,13873,7110,2665,3450,38,41,916,6763,2359,3370,45,95,894
