geo_level,geo_code,geoid,name,total,Black African,Black African-Female,Black African-Male,Coloured,Coloured-Female,Coloured-Male,Indian or Asian,Indian or Asian-Female,Indian or Asian-Male,Other,Other-Female,Other-Male,White,White-Female,White-Male
municipality,LIM335,municipality-LIM335,Maruleng,20872,20416,10291,10125,49,29,20,49,16,33,24,5,19,334,158,176
municipality,LIM341,municipality-LIM341,Musina,12999,12516,6520,5996,30,13,17,54,18,36,42,23,19,357,203,154
municipality,LIM342,municipality-LIM342,Mutale,20643,20505,10310,10195,28,9,19,14,2,12,29,8,21,67,34,33
municipality,LIM343,municipality-LIM343,Thulamela,144442,143701,72356,71345,101,50,51,422,181,241,130,31,99,88,39,49
municipality,LIM344,municipality-LIM344,Makhado,110235,108541,53997,54544,193,93,100,260,109,151,136,19,117,1105,539,566
municipality,LIM351,municipality-LIM351,Blouberg,36613,36402,18508,17894,9,1,8,46,5,41,83,19,64,73,35,38
municipality,LIM353,municipality-LIM353,Molemole,23477,23181,11432,11749,56,32,24,39,11,28,51,17,34,150,63,87
municipality,LIM354,municipality-LIM354,Polokwane,136895,130331,66357,63974,1275,606,669,752,321,431,284,116,168,4253,2039,2214
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,48131,47954,23978,23976,35,19,16,51,8,43,40,14,26,51,28,23
municipality,LIM361,municipality-LIM361,Thabazimbi,13428,11679,5354,6325,79,39,40,30,15,15,47,15,32,1593,803,790
municipality,LIM362,municipality-LIM362,Lephalale,24147,22649,10492,12157,192,77,115,65,15,50,54,13,41,1187,560,627
municipality,LIM365,municipality-LIM365,Modimolle,12537,11712,5840,5872,52,20,32,59,12,47,30,8,22,684,364,320
municipality,LIM366,municipality-LIM366,Bela-Bela,11808,10791,5282,5509,209,106,103,64,32,32,26,5,21,718,365,353
municipality,BUF,municipality-BUF,Buffalo City,142385,125313,64069,61244,8511,4259,4252,933,425,508,573,168,405,7055,3534,3521
municipality,EC101,municipality-EC101,Camdeboo,9295,2579,1326,1253,6118,2955,3163,57,19,38,42,17,25,499,220,279
municipality,EC105,municipality-EC105,Ndlambe,9741,8266,4098,4168,754,382,372,28,8,20,77,17,60,616,312,304
municipality,EC122,municipality-EC122,Mnquma,51967,51613,25307,26306,130,66,64,72,31,41,50,12,38,102,48,54
municipality,EC128,municipality-EC128,Nxuba,4207,3183,1568,1615,872,423,449,24,11,13,30,11,19,98,42,56
municipality,EC135,municipality-EC135,Intsika Yethu,27350,27106,12657,14449,99,37,62,45,8,37,62,12,50,38,16,22
municipality,EC144,municipality-EC144,Gariep,5956,4722,2269,2453,944,424,520,13,2,11,28,8,20,249,137,112
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,105777,104254,54043,50211,768,389,379,310,115,195,165,45,120,280,152,128
municipality,NMA,municipality-NMA,Nelson Mandela Bay,213918,136261,69389,66872,50240,25672,24568,2222,1079,1143,2234,757,1477,22961,11336,11625
municipality,FS164,municipality-FS164,Naledi,4789,4571,2354,2217,75,37,38,23,5,18,14,0,14,106,49,57
municipality,FS191,municipality-FS191,Setsoto,21757,20715,10646,10069,217,110,107,152,69,83,37,10,27,636,324,312
municipality,FS196,municipality-FS196,Mantsopa,9794,9011,4585,4426,361,177,184,55,27,28,42,11,31,325,162,163
municipality,MAN,municipality-MAN,Mangaung,152798,130141,65832,64309,7653,3931,3722,683,267,416,457,158,299,13864,7031,6833
municipality,EKU,municipality-EKU,Ekurhuleni,568058,478034,237728,240306,16129,8229,7900,9898,4622,5276,2629,935,1694,61368,30757,30611
municipality,GT422,municipality-GT422,Midvaal,15881,10584,5239,5345,305,172,133,123,76,47,62,29,33,4807,2383,2424
municipality,GT484,municipality-GT484,Merafong City,34032,30376,15147,15229,382,189,193,106,42,64,77,19,58,3091,1600,1491
municipality,JHB,municipality-JHB,City of Johannesburg,792460,654540,331374,323166,45820,23208,22612,29439,14387,15052,4379,1958,2421,58282,28723,29559
municipality,TSH,municipality-TSH,City of Tshwane,550814,447047,226468,220579,11442,5793,5649,8297,3934,4363,2771,1132,1639,81257,40693,40564
municipality,ETH,municipality-ETH,eThekwini,710722,562900,286430,276470,16572,8434,8138,102150,50781,51369,2715,1186,1529,26385,12964,13421
municipality,KZN216,municipality-KZN216,Hibiscus Coast,50429,45174,23088,22086,737,379,358,2224,1097,1127,93,42,51,2201,1069,1132
municipality,KZN227,municipality-KZN227,Richmond,12899,12484,6205,6279,128,64,64,130,57,73,23,10,13,134,68,66
municipality,KZN241,municipality-KZN241,Endumeni,13304,11801,5759,6042,354,180,174,598,303,295,33,16,17,518,261,257
municipality,KZN253,municipality-KZN253,Emadlangeni,6654,6397,2996,3401,77,44,33,8,6,2,7,2,5,165,91,74
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33674,33556,17365,16191,22,11,11,36,15,21,31,14,17,29,16,13
municipality,KZN282,municipality-KZN282,uMhlathuze,73321,66903,35236,31667,652,316,336,2351,1209,1142,149,55,94,3266,1616,1650
municipality,KZN292,municipality-KZN292,KwaDukuza,45659,38200,19520,18680,431,221,210,5662,2793,2869,313,112,201,1053,558,495
municipality,KZN433,municipality-KZN433,Greater Kokstad,13749,12396,6491,5905,1019,506,513,90,39,51,32,13,19,212,102,110
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,30481,29337,14961,14376,79,42,37,51,23,28,20,6,14,994,503,491
municipality,LIM352,municipality-LIM352,Aganang,28100,27950,13901,14049,27,16,11,27,0,27,66,12,54,30,16,14
municipality,LIM364,municipality-LIM364,Mookgopong,6135,5718,2745,2973,27,12,15,18,5,13,39,8,31,333,148,185
municipality,LIM367,municipality-LIM367,Mogalakwena,64779,63128,31808,31320,89,41,48,307,113,194,119,33,86,1136,577,559
municipality,LIM471,municipality-LIM471,Ephraim Mogale,25364,25010,12405,12605,15,7,8,62,18,44,63,19,44,214,102,112
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,52958,52246,26375,25871,56,27,29,132,27,105,93,16,77,431,209,222
municipality,LIM473,municipality-LIM473,Makhuduthamaga,56976,56755,28979,27776,30,13,17,106,33,73,54,14,40,31,19,12
municipality,LIM474,municipality-LIM474,Fetakgomo,19317,19214,9840,9374,4,4,0,20,3,17,27,5,22,52,33,19
municipality,LIM475,municipality-LIM475,Greater Tubatse,71928,71012,36093,34919,121,57,64,108,48,60,56,21,35,631,301,330
municipality,MP301,municipality-MP301,Albert Luthuli,41826,41102,21096,20006,122,53,69,179,41,138,84,21,63,339,162,177
municipality,MP302,municipality-MP302,Msukaligwa,29164,26452,13301,13151,170,94,76,282,111,171,95,30,65,2165,1083,1082
municipality,MP304,municipality-MP304,Pixley Ka Seme,16069,15004,7686,7318,97,36,61,171,80,91,25,5,20,772,381,391
municipality,MP305,municipality-MP305,Lekwa,21497,18492,8994,9498,647,328,319,216,94,122,69,15,54,2073,973,1100
municipality,MP306,municipality-MP306,Dipaleseng,7976,7416,3664,3752,39,24,15,48,17,31,12,2,10,461,212,249
municipality,MP307,municipality-MP307,Govan Mbeki,56737,47983,22937,25046,842,402,440,785,370,415,229,67,162,6898,3443,3455
municipality,MP312,municipality-MP312,Emalahleni,75645,64387,30968,33419,1274,623,651,609,239,370,299,62,237,9076,4474,4602
municipality,MP313,municipality-MP313,Steve Tshwete,41768,32384,15677,16707,1274,640,634,594,247,347,175,54,121,7341,3534,3807
municipality,MP314,municipality-MP314,Emakhazeni,8660,7917,3904,4013,132,67,65,68,23,45,7,2,5,536,250,286
municipality,MP315,municipality-MP315,Thembisile,64731,64101,32484,31617,144,78,66,281,79,202,157,28,129,48,22,26
municipality,MP316,municipality-MP316,Dr JS Moroka,52138,51800,25904,25896,77,35,42,156,26,130,82,11,71,23,9,14
municipality,MP321,municipality-MP321,Thaba Chweu,17549,14814,7214,7600,517,265,252,103,41,62,130,39,91,1985,997,988
municipality,MP323,municipality-MP323,Umjindi,12989,11685,5618,6067,267,152,115,119,53,66,19,3,16,899,437,462
municipality,MP324,municipality-MP324,Nkomazi,92704,91229,46790,44439,266,143,123,345,98,247,99,35,64,765,389,376
municipality,MP325,municipality-MP325,Bushbuckridge,125919,125399,64409,60990,157,84,73,152,23,129,70,12,58,141,66,75
municipality,NW371,municipality-NW371,Moretele,35226,35000,17493,17507,58,23,35,49,10,39,69,7,62,50,26,24
municipality,NW372,municipality-NW372,Madibeng,87476,79682,38452,41230,836,446,390,467,143,324,383,119,264,6108,2939,3169
municipality,NW374,municipality-NW374,Kgetlengrivier,9279,7724,3804,3920,203,85,118,84,39,45,53,21,32,1215,561,654
municipality,NW375,municipality-NW375,Moses Kotane,43099,42491,21103,21388,111,53,58,172,52,120,91,26,65,234,100,134
municipality,NW381,municipality-NW381,Ratlou,19741,19391,9929,9462,178,88,90,56,7,49,29,10,19,87,42,45
municipality,NW382,municipality-NW382,Tswaing,23326,21875,11138,10737,417,178,239,69,9,60,56,18,38,909,466,443
municipality,NW383,municipality-NW383,Mafikeng,59427,57101,29364,27737,1287,595,692,447,175,272,95,24,71,497,250,247
municipality,NW385,municipality-NW385,Ramotshere Moiloa,27003,25755,13010,12745,257,122,135,175,68,107,97,33,64,719,352,367
municipality,NW392,municipality-NW392,Naledi,11876,9061,4584,4477,1839,987,852,117,59,58,107,40,67,752,346,406
municipality,NW393,municipality-NW393,Mamusa,11189,10424,5256,5168,267,119,148,58,13,45,27,9,18,413,207,206
municipality,NW394,municipality-NW394,Greater Taung,33812,33205,17043,16162,382,195,187,86,18,68,65,22,43,74,20,54
municipality,NW397,municipality-NW397,Kagisano/Molopo,18762,18121,9411,8710,305,158,147,49,5,44,57,25,32,230,104,126
municipality,NW401,municipality-NW401,Ventersdorp,9917,9021,4530,4491,338,165,173,34,6,28,147,71,76,377,184,193
municipality,NW402,municipality-NW402,Tlokwe City Council,33843,21803,10939,10864,2199,1174,1025,394,180,214,175,56,119,9272,4879,4393
municipality,NW403,municipality-NW403,City of Matlosana,71392,60620,30505,30115,2550,1288,1262,629,221,408,201,60,141,7392,3618,3774
municipality,NW404,municipality-NW404,Maquassi Hills,14363,13113,6606,6507,389,198,191,79,21,58,47,12,35,735,384,351
municipality,NC061,municipality-NC061,Richtersveld,1772,210,103,107,1456,672,784,8,5,3,19,6,13,79,45,34
municipality,NC064,municipality-NC064,Kamiesberg,1604,105,55,50,1441,663,778,8,2,6,9,2,7,41,19,22
municipality,NC065,municipality-NC065,Hantam,3445,144,71,73,3087,1505,1582,20,10,10,19,3,16,175,86,89
municipality,NC066,municipality-NC066,Karoo Hoogland,1765,141,72,69,1503,780,723,26,13,13,7,4,3,88,34,54
municipality,NC067,municipality-NC067,Khâi-Ma,2260,589,244,345,1566,795,771,9,2,7,21,9,12,75,28,47
municipality,NC072,municipality-NC072,Umsobomvu,4868,3191,1582,1609,1493,759,734,20,7,13,44,15,29,120,57,63
municipality,NC073,municipality-NC073,Emthanjeni,7322,2412,1179,1233,4457,2275,2182,43,14,29,36,7,29,374,194,180
municipality,NC074,municipality-NC074,Kareeberg,1871,103,43,60,1681,885,796,7,2,5,6,1,5,74,33,41
municipality,NC075,municipality-NC075,Renosterberg,1727,604,270,334,1043,514,529,12,5,7,4,2,2,64,30,34
municipality,NC076,municipality-NC076,Thembelihle,2755,441,225,216,2025,1020,1005,14,0,14,14,2,12,261,126,135
municipality,NC078,municipality-NC078,Siyancuma,6346,2011,1019,992,3894,1929,1965,44,21,23,96,37,59,301,153,148
municipality,NC081,municipality-NC081,Mier,1223,65,24,41,1124,579,545,11,8,3,6,0,6,17,6,11
municipality,NC082,municipality-NC082,Kai !Garib,14201,6108,2611,3497,7273,3651,3622,87,38,49,332,133,199,401,188,213
municipality,NC083,municipality-NC083,//Khara Hais,17179,4131,2002,2129,11632,5888,5744,104,34,70,200,68,132,1112,560,552
municipality,NC084,municipality-NC084,!Kheis,2615,180,70,110,2291,1177,1114,27,6,21,31,10,21,86,40,46
municipality,NC086,municipality-NC086,Kgatelopele,3319,1644,809,835,1436,715,721,20,8,12,26,7,19,193,80,113
municipality,NC091,municipality-NC091,Sol Plaatjie,44776,28164,14188,13976,12796,6471,6325,457,203,254,1047,523,524,2312,1159,1153
municipality,NC092,municipality-NC092,Dikgatlong,8219,4797,2417,2380,2535,1297,1238,49,19,30,648,313,335,190,84,106
municipality,NC093,municipality-NC093,Magareng,4386,3555,1755,1800,660,321,339,29,7,22,6,1,5,136,66,70
municipality,NC451,municipality-NC451,Joe Morolong,16219,15700,8190,7510,290,155,135,56,7,49,33,11,22,140,57,83
municipality,NC452,municipality-NC452,Ga-Segonyana,17961,15952,8076,7876,1360,668,692,71,17,54,81,29,52,497,257,240
municipality,NC453,municipality-NC453,Gamagara,7517,4188,1917,2271,2330,1158,1172,42,15,27,150,73,77,807,371,436
municipality,CPT,municipality-CPT,City of Cape Town,684630,305971,160984,144987,288721,145162,143559,9253,4394,4859,10671,4145,6526,70014,34941,35073
municipality,WC011,municipality-WC011,Matzikama,12186,1325,589,736,9496,4804,4692,74,37,37,151,63,88,1140,576,564
municipality,WC013,municipality-WC013,Bergrivier,10633,1788,1062,726,7692,3959,3733,44,17,27,71,20,51,1038,512,526
municipality,WC014,municipality-WC014,Saldanha Bay,17815,5217,2611,2606,10337,5224,5113,156,76,80,135,33,102,1970,973,997
municipality,WC015,municipality-WC015,Swartland,20481,4903,2537,2366,13579,6894,6685,102,45,57,153,44,109,1744,871,873
municipality,WC022,municipality-WC022,Witzenberg,22253,6401,2791,3610,14549,7255,7294,68,22,46,144,49,95,1091,421,670
municipality,WC023,municipality-WC023,Drakenstein,48637,12343,6095,6248,30521,15021,15500,222,112,110,407,145,262,5144,2694,2450
municipality,WC025,municipality-WC025,Breede Valley,30755,8307,4185,4122,19758,10057,9701,175,72,103,306,144,162,2209,1043,1166
municipality,WC026,municipality-WC026,Langeberg,17191,3067,1558,1509,12852,6479,6373,37,18,19,158,56,102,1077,540,537
municipality,WC031,municipality-WC031,Theewaterskloof,19212,5828,2672,3156,12187,6141,6046,59,24,35,199,59,140,939,441,498
municipality,WC032,municipality-WC032,Overstrand,11665,5616,2870,2746,4370,2235,2135,41,14,27,129,46,83,1509,775,734
municipality,WC034,municipality-WC034,Swellendam,6109,944,407,537,4579,2297,2282,18,6,12,69,21,48,499,228,271
municipality,WC041,municipality-WC041,Kannaland,4238,242,120,122,3755,1864,1891,8,5,3,19,11,8,214,101,113
municipality,WC042,municipality-WC042,Hessequa,7662,575,262,313,6108,3155,2953,45,24,21,27,5,22,907,467,440
municipality,WC043,municipality-WC043,Mossel Bay,13873,5024,2665,2359,6820,3450,3370,83,38,45,136,41,95,1810,916,894
