geo_level,geo_code,geoid,name,total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,Northern Cape,North West,Outside South Africa,Unspecified,Western Cape
country,ZA,country-ZA,South Africa,9878844,1560882,544923,1399992,2091094,1340637,802180,223361,608425,384807,140165,782378
municipality,WC044,municipality-WC044,George,32609,5389,393,1183,236,135,194,319,116,481,512,23651
municipality,WC047,municipality-WC047,Bitou,7553,2510,78,297,97,36,45,62,22,205,60,4141
municipality,WC048,municipality-WC048,Knysna,10603,2240,84,365,95,34,41,60,20,396,102,7166
municipality,WC051,municipality-WC051,Laingsburg,1177,12,7,6,9,4,5,40,4,11,33,1046
municipality,WC052,municipality-WC052,Prince Albert,2227,60,5,24,1,6,11,18,3,13,22,2064
municipality,WC053,municipality-WC053,Beaufort West,8126,295,32,74,39,11,28,229,8,50,117,7243
municipality,MP303,municipality-MP303,Mkhondo,30506,200,53,497,1768,135,26564,105,104,491,547,42
municipality,MP311,municipality-MP311,Victor Khanye,13527,373,206,1418,341,414,9579,153,152,610,209,72
municipality,MP322,municipality-MP322,Mbombela,124454,1254,406,2865,1799,1554,108314,685,472,5002,1724,379
municipality,NW373,municipality-NW373,Rustenburg,94706,7753,2183,4772,1291,2747,1754,1308,63060,8270,1204,364
municipality,NW384,municipality-NW384,Ditsobotla,29710,79,210,611,155,97,119,140,27512,489,262,36
municipality,NW396,municipality-NW396,Lekwa-Teemane,9565,29,1338,388,64,35,33,321,7120,109,81,47
municipality,NC062,municipality-NC062,Nama Khoi,7483,91,23,32,33,4,17,6615,16,90,93,469
municipality,NC071,municipality-NC071,Ubuntu,3080,124,24,30,39,16,16,2564,4,43,10,210
municipality,NC077,municipality-NC077,Siyathemba,3468,61,41,109,20,5,12,3034,30,46,15,95
municipality,NC085,municipality-NC085,Tsantsabane,6419,117,130,138,56,51,20,5447,245,87,46,82
municipality,NC094,municipality-NC094,Phokwane,11407,90,220,305,58,25,41,8638,1708,133,127,62
municipality,WC012,municipality-WC012,Cederberg,8035,494,56,72,11,13,12,181,29,258,114,6795
municipality,WC024,municipality-WC024,Stellenbosch,32242,5442,395,1743,548,141,233,424,115,1109,516,21576
municipality,WC033,municipality-WC033,Cape Agulhas,5238,394,33,91,32,21,12,32,18,154,86,4365
municipality,WC045,municipality-WC045,Oudtshoorn,16351,270,73,145,33,18,54,72,31,94,147,15414
municipality,EC102,municipality-EC102,Blue Crane Route,5855,5482,17,59,13,7,9,33,7,43,84,101
municipality,EC103,municipality-EC103,Ikwezi,1662,1552,4,11,1,0,8,7,0,23,8,48
municipality,EC104,municipality-EC104,Makana,13741,12095,43,405,268,32,52,45,25,388,159,229
municipality,EC106,municipality-EC106,Sundays River Valley,9362,8620,57,51,38,17,23,25,9,346,77,99
municipality,EC107,municipality-EC107,Baviaans,2792,2236,4,19,1,2,1,16,0,16,30,467
municipality,EC108,municipality-EC108,Kouga,15700,13908,183,408,128,46,63,104,42,294,185,339
municipality,EC109,municipality-EC109,Kou-Kamma,6664,5846,70,66,18,16,27,27,21,189,72,312
municipality,EC121,municipality-EC121,Mbhashe,52643,49971,60,613,70,41,113,121,57,187,614,796
municipality,EC123,municipality-EC123,Great Kei,6658,6335,8,63,9,3,7,18,2,13,170,30
municipality,EC124,municipality-EC124,Amahlathi,22057,20714,44,330,43,19,42,66,22,98,146,533
municipality,EC126,municipality-EC126,Ngqushwa,11949,11384,23,120,23,12,44,35,5,49,129,125
municipality,EC127,municipality-EC127,Nkonkobe,20917,19401,37,267,62,18,51,79,11,202,277,512
municipality,EC131,municipality-EC131,Inxuba Yethemba,10963,10059,84,175,30,15,37,99,27,90,91,256
municipality,EC132,municipality-EC132,Tsolwana,6260,5733,29,154,9,10,10,10,3,74,94,134
municipality,EC133,municipality-EC133,Inkwanca,4119,3794,34,103,7,3,15,9,11,33,36,74
municipality,EC134,municipality-EC134,Lukanji,36380,32744,131,998,127,46,121,173,51,556,314,1119
municipality,EC136,municipality-EC136,Emalahleni,22254,19962,83,795,36,22,32,41,18,206,169,890
municipality,EC137,municipality-EC137,Engcobo,29888,27803,61,484,32,19,56,76,20,144,608,585
municipality,EC138,municipality-EC138,Sakhisizwe,12642,11534,56,223,24,15,29,46,19,116,239,341
municipality,EC141,municipality-EC141,Elundini,28401,26495,57,398,169,28,61,51,22,330,339,451
municipality,EC142,municipality-EC142,Senqu,27343,24394,234,720,38,32,79,73,34,1155,266,318
municipality,EC143,municipality-EC143,Maletswai,8095,7257,232,212,23,10,13,42,17,112,66,111
municipality,EC153,municipality-EC153,Ngquza Hill,59421,56909,52,332,512,45,92,110,27,172,985,185
municipality,EC154,municipality-EC154,Port St Johns,34389,33352,19,140,120,15,50,59,17,23,476,118
municipality,EC155,municipality-EC155,Nyandeni,64647,62789,38,268,142,48,89,117,34,140,725,257
municipality,EC156,municipality-EC156,Mhlontlo,40276,38477,24,244,90,28,88,79,27,115,826,278
municipality,EC441,municipality-EC441,Matatiele,40972,35969,112,913,1365,44,81,132,37,986,1007,326
municipality,EC442,municipality-EC442,Umzimvubu,39660,36935,51,617,403,43,82,99,32,155,937,306
municipality,EC443,municipality-EC443,Mbizana,60201,56770,69,346,1165,58,134,146,29,94,1184,206
municipality,EC444,municipality-EC444,Ntabankulu,26569,25554,27,187,123,16,59,60,9,45,408,81
municipality,FS161,municipality-FS161,Letsemeng,6732,118,5627,75,33,18,7,650,37,61,45,61
municipality,FS162,municipality-FS162,Kopanong,8378,183,7598,159,18,36,23,137,24,115,35,50
municipality,FS163,municipality-FS163,Mohokare,6417,332,5761,68,12,19,2,16,19,131,28,29
municipality,FS181,municipality-FS181,Masilonyana,10941,218,10134,77,32,36,22,29,54,170,135,34
municipality,FS182,municipality-FS182,Tokologo,4968,21,4398,47,11,14,11,199,152,68,33,14
municipality,FS183,municipality-FS183,Tswelopele,8868,36,8402,44,14,23,10,44,130,76,63,26
municipality,FS184,municipality-FS184,Matjhabeng,75859,4432,63384,1150,656,513,383,324,685,3325,643,364
municipality,FS185,municipality-FS185,Nala,14923,80,13963,91,28,58,22,38,286,157,172,28
municipality,FS192,municipality-FS192,Dihlabeng,22380,133,20763,376,232,99,62,63,95,341,132,84
municipality,FS193,municipality-FS193,Nketoana,11392,47,10706,228,59,52,38,13,34,94,94,27
municipality,FS194,municipality-FS194,Maluti a Phofung,72886,383,66644,1462,2312,267,153,57,232,601,629,146
municipality,FS195,municipality-FS195,Phumelela,8898,48,7838,257,379,36,121,14,20,125,38,22
municipality,FS201,municipality-FS201,Moqhaka,26458,221,24172,431,111,146,84,96,411,359,315,112
municipality,FS203,municipality-FS203,Ngwathe,21152,142,18965,746,86,116,67,66,357,344,185,78
municipality,FS204,municipality-FS204,Metsimaholo,26661,1155,19537,3069,436,629,406,86,274,647,312,110
municipality,FS205,municipality-FS205,Mafube,10800,73,9583,446,72,97,195,39,44,100,119,32
municipality,GT421,municipality-GT421,Emfuleni,137719,3925,9831,102705,2510,5222,2308,478,2037,5337,1682,1684
municipality,GT423,municipality-GT423,Lesedi,16968,295,755,12488,557,374,1153,82,135,705,170,254
municipality,GT481,municipality-GT481,Mogale City,61117,2561,1210,37600,2397,3715,999,419,5810,5121,619,666
municipality,GT482,municipality-GT482,Randfontein,25407,844,573,17207,512,1186,327,227,2613,1214,372,332
municipality,GT483,municipality-GT483,Westonaria,20076,3774,635,9757,1043,632,467,94,762,2637,140,135
municipality,KZN211,municipality-KZN211,Vulamehlo,15933,164,9,18,15154,26,24,67,36,3,412,20
municipality,KZN212,municipality-KZN212,Umdoni,14819,819,30,163,13275,45,35,65,29,56,267,35
municipality,KZN213,municipality-KZN213,Umzumbe,33440,321,17,28,32131,35,56,157,44,50,556,45
municipality,KZN214,municipality-KZN214,UMuziwabantu,20544,909,33,49,18876,24,61,121,26,52,370,23
municipality,KZN215,municipality-KZN215,Ezingoleni,10860,212,1,14,10443,14,10,32,8,20,103,3
municipality,KZN221,municipality-KZN221,uMshwathi,22171,264,26,51,20974,18,28,86,38,249,411,26
municipality,KZN222,municipality-KZN222,uMngeni,15698,384,103,219,13877,42,54,62,24,691,185,57
municipality,KZN223,municipality-KZN223,Mpofana,7270,57,13,52,6809,24,30,36,19,87,130,13
municipality,KZN224,municipality-KZN224,Impendle,6857,36,7,13,6566,12,13,35,7,21,141,6
municipality,KZN225,municipality-KZN225,The Msunduzi,124207,3500,325,945,113264,371,404,613,263,2147,2048,327
municipality,KZN226,municipality-KZN226,Mkhambathini,12646,784,28,46,11323,17,22,46,24,142,192,22
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,46153,278,347,523,43209,104,165,229,93,406,691,108
municipality,KZN233,municipality-KZN233,Indaka,21865,61,19,377,20774,40,29,100,46,16,376,27
municipality,KZN234,municipality-KZN234,Umtshezi,16067,74,37,111,15201,27,43,95,38,112,296,33
municipality,KZN235,municipality-KZN235,Okhahlamba,26404,76,170,245,24781,55,66,139,58,158,639,17
municipality,KZN236,municipality-KZN236,Imbabazane,23912,90,22,155,22635,42,68,152,44,31,652,21
municipality,KZN242,municipality-KZN242,Nqutu,34981,115,18,527,33441,48,76,125,55,82,468,26
municipality,KZN244,municipality-KZN244,Msinga,36122,97,10,346,34385,55,60,184,61,43,832,49
municipality,KZN245,municipality-KZN245,Umvoti,20832,80,11,110,19792,24,28,113,29,144,468,33
municipality,KZN252,municipality-KZN252,Newcastle,75129,378,592,1584,68864,177,1192,301,137,741,1049,114
municipality,KZN254,municipality-KZN254,Dannhauser,21651,50,37,288,20710,36,71,86,31,62,262,18
municipality,KZN261,municipality-KZN261,eDumbe,16980,40,15,221,15850,23,263,110,51,176,200,31
municipality,KZN262,municipality-KZN262,UPhongolo,28063,72,24,195,26010,50,364,140,28,687,466,27
municipality,KZN263,municipality-KZN263,Abaqulusi,42514,112,62,403,40184,68,182,197,53,241,963,49
municipality,KZN265,municipality-KZN265,Nongoma,43224,107,15,112,41357,89,82,208,60,98,1067,29
municipality,KZN266,municipality-KZN266,Ulundi,39694,121,21,178,38109,60,89,189,69,110,727,21
municipality,KZN272,municipality-KZN272,Jozini,41459,104,19,50,39570,89,60,253,45,312,925,32
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,7479,20,6,25,6972,13,22,27,7,32,340,15
municipality,KZN274,municipality-KZN274,Hlabisa,15988,51,6,32,15413,20,33,98,26,31,269,9
municipality,KZN275,municipality-KZN275,Mtubatuba,37274,157,19,87,35062,61,110,254,44,277,1154,49
municipality,KZN281,municipality-KZN281,Mfolozi,26369,98,20,60,24780,30,107,175,46,133,887,33
municipality,KZN283,municipality-KZN283,Ntambanana,16528,54,4,20,15716,22,36,122,21,30,491,12
municipality,KZN284,municipality-KZN284,uMlalazi,45318,177,26,101,42925,60,116,250,78,265,1272,48
municipality,KZN285,municipality-KZN285,Mthonjaneni,9717,42,5,17,9230,27,36,77,15,85,181,2
municipality,KZN286,municipality-KZN286,Nkandla,24303,80,12,258,23246,25,44,128,33,32,431,14
municipality,KZN291,municipality-KZN291,Mandeni,29120,296,19,60,27089,88,64,130,72,395,871,36
municipality,KZN293,municipality-KZN293,Ndwedwe,29549,604,10,26,27466,72,65,181,49,75,973,28
municipality,KZN294,municipality-KZN294,Maphumulo,20649,87,7,77,19800,36,43,129,47,10,386,27
municipality,KZN431,municipality-KZN431,Ingwe,20898,132,9,44,20018,34,40,105,34,90,367,25
municipality,KZN432,municipality-KZN432,Kwa Sani,2258,65,7,13,2079,1,11,17,10,20,32,3
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,21052,285,15,39,19789,38,47,125,39,65,589,21
municipality,KZN435,municipality-KZN435,Umzimkhulu,39333,5456,50,269,32455,59,77,154,58,93,608,54
municipality,LIM331,municipality-LIM331,Greater Giyani,57506,23,57,868,18,54346,118,10,21,1305,560,180
municipality,LIM332,municipality-LIM332,Greater Letaba,49801,37,55,584,29,46500,70,8,33,1767,575,143
municipality,LIM333,municipality-LIM333,Greater Tzaneen,82601,70,135,1127,96,77427,390,29,94,2257,760,216
municipality,LIM335,municipality-LIM335,Maruleng,20618,30,38,261,24,19216,330,12,30,307,283,87
municipality,LIM341,municipality-LIM341,Musina,12746,23,28,170,14,7951,56,31,22,4327,78,46
municipality,LIM342,municipality-LIM342,Mutale,20339,4,18,230,12,19359,36,3,7,429,179,62
municipality,LIM343,municipality-LIM343,Thulamela,141291,83,143,2481,58,132019,294,21,82,4447,1307,356
municipality,LIM344,municipality-LIM344,Makhado,109250,79,177,2399,91,101123,208,37,92,3804,877,363
municipality,LIM351,municipality-LIM351,Blouberg,36350,21,40,568,13,34326,67,13,33,836,333,100
municipality,LIM353,municipality-LIM353,Molemole,22428,12,36,525,31,20413,61,9,40,1001,246,54
municipality,LIM354,municipality-LIM354,Polokwane,131126,303,431,3521,352,117643,1356,128,514,5032,1437,409
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,47529,61,72,890,26,44781,204,23,65,757,547,103
municipality,LIM361,municipality-LIM361,Thabazimbi,12881,1685,382,783,180,6008,273,89,2141,1189,92,59
municipality,LIM362,municipality-LIM362,Lephalale,22373,205,96,648,187,18885,261,46,181,1472,259,133
municipality,LIM365,municipality-LIM365,Modimolle,12371,47,79,461,15,10450,226,5,141,791,122,34
municipality,LIM366,municipality-LIM366,Bela-Bela,11241,32,73,566,52,8877,381,20,353,691,121,75
municipality,BUF,municipality-BUF,Buffalo City,136140,127005,389,1716,876,164,325,375,151,1563,1963,1613
municipality,EC101,municipality-EC101,Camdeboo,8272,7541,21,140,15,3,27,45,18,31,69,362
municipality,EC105,municipality-EC105,Ndlambe,9523,8751,41,167,45,16,38,39,10,165,154,97
municipality,EC122,municipality-EC122,Mnquma,49053,46140,77,758,97,29,67,90,49,176,633,937
municipality,EC128,municipality-EC128,Nxuba,3874,3645,19,35,5,2,5,12,2,51,22,76
municipality,EC135,municipality-EC135,Intsika Yethu,26423,24032,74,633,34,27,61,59,32,218,307,946
municipality,EC144,municipality-EC144,Gariep,5796,5110,155,184,19,11,24,56,11,67,66,93
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,99954,95118,107,719,442,92,182,222,48,705,1700,619
municipality,NMA,municipality-NMA,Nelson Mandela Bay,208145,189599,863,3630,1361,439,640,834,272,4044,3355,3108
municipality,FS164,municipality-FS164,Naledi,4779,46,4453,47,6,21,4,3,12,146,23,18
municipality,FS191,municipality-FS191,Setsoto,21325,97,19855,367,91,70,40,28,71,552,107,47
municipality,FS196,municipality-FS196,Mantsopa,9635,63,8839,145,38,41,14,20,39,350,60,26
municipality,MAN,municipality-MAN,Mangaung,146667,4908,123914,2931,1127,1116,564,2927,1967,4720,1368,1125
municipality,EKU,municipality-EKU,Ekurhuleni,563328,30920,12527,326670,39300,62741,28356,2496,5123,42532,6523,6140
municipality,GT422,municipality-GT422,Midvaal,15010,529,1150,9917,515,525,299,58,161,1393,248,215
municipality,GT484,municipality-GT484,Merafong City,33127,4798,1303,17704,1155,702,534,239,3356,2706,273,357
municipality,JHB,municipality-JHB,City of Johannesburg,765928,34418,14158,414491,59472,82640,18674,3941,20505,99323,9353,8953
municipality,TSH,municipality-TSH,City of Tshwane,523611,10279,7866,290771,12322,84080,34328,3176,29476,37927,6593,6793
municipality,ETH,municipality-ETH,eThekwini,697265,31958,1707,7178,614951,2050,2479,4210,1576,12393,16637,2126
municipality,KZN216,municipality-KZN216,Hibiscus Coast,49405,4789,164,828,41241,105,190,248,135,319,1199,187
municipality,KZN227,municipality-KZN227,Richmond,12612,391,28,39,11569,26,23,68,10,225,212,21
municipality,KZN241,municipality-KZN241,Endumeni,12604,67,52,215,11783,34,46,43,38,100,196,30
municipality,KZN253,municipality-KZN253,Emadlangeni,6437,35,20,81,5917,26,168,42,12,42,82,12
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,33511,62,8,61,32164,49,30,169,24,198,727,19
municipality,KZN282,municipality-KZN282,uMhlathuze,68911,485,205,864,63472,193,476,429,225,949,1447,166
municipality,KZN292,municipality-KZN292,KwaDukuza,45401,2933,75,565,38661,113,111,205,97,2002,552,87
municipality,KZN433,municipality-KZN433,Greater Kokstad,13592,3909,16,176,8814,16,30,57,18,139,348,69
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,30027,64,60,476,70,26565,1377,39,70,947,260,99
municipality,LIM352,municipality-LIM352,Aganang,27538,22,35,576,17,26214,46,7,42,298,229,52
municipality,LIM364,municipality-LIM364,Mookgopong,6060,26,30,168,19,4643,94,17,40,960,35,28
municipality,LIM367,municipality-LIM367,Mogalakwena,64036,76,148,1578,90,59640,285,46,173,1273,550,177
municipality,LIM471,municipality-LIM471,Ephraim Mogale,25305,35,64,513,65,21395,1095,15,78,1672,285,88
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,52292,125,163,1934,226,43215,4226,53,148,1455,543,204
municipality,LIM473,municipality-LIM473,Makhuduthamaga,56369,66,79,716,46,53633,421,19,64,391,674,260
municipality,LIM474,municipality-LIM474,Fetakgomo,19284,56,50,177,12,18272,74,17,30,175,343,78
municipality,LIM475,municipality-LIM475,Greater Tubatse,71199,280,252,1003,136,65668,1318,59,233,978,981,291
municipality,MP301,municipality-MP301,Albert Luthuli,41524,319,48,729,1032,265,37378,203,88,1114,300,48
municipality,MP302,municipality-MP302,Msukaligwa,28677,283,141,688,1257,237,24842,162,133,523,353,58
municipality,MP304,municipality-MP304,Pixley Ka Seme,15934,134,121,517,984,107,13499,113,40,151,241,27
municipality,MP305,municipality-MP305,Lekwa,20764,423,634,777,1010,193,16902,148,118,332,161,66
municipality,MP306,municipality-MP306,Dipaleseng,7923,159,260,957,228,97,5846,70,50,100,126,30
municipality,MP307,municipality-MP307,Govan Mbeki,56185,3215,2050,2808,3597,1663,38643,540,461,2039,854,315
municipality,MP312,municipality-MP312,Emalahleni,74900,2333,932,3234,3291,7852,51362,455,614,3625,893,309
municipality,MP313,municipality-MP313,Steve Tshwete,40979,1022,496,2253,1790,3617,28513,320,480,1743,531,214
municipality,MP314,municipality-MP314,Emakhazeni,8429,89,30,223,128,230,7184,72,60,265,132,16
municipality,MP315,municipality-MP315,Thembisile,64622,399,229,8007,738,4970,47496,209,602,1072,784,116
municipality,MP316,municipality-MP316,Dr JS Moroka,52015,273,78,2532,351,5235,41308,216,565,660,727,70
municipality,MP321,municipality-MP321,Thaba Chweu,16678,171,228,821,249,1299,12399,164,251,744,275,77
municipality,MP323,municipality-MP323,Umjindi,12011,147,77,307,231,157,9931,57,67,873,132,32
municipality,MP324,municipality-MP324,Nkomazi,92040,602,129,777,892,518,79006,417,241,7677,1678,103
municipality,MP325,municipality-MP325,Bushbuckridge,125729,541,73,590,623,3328,117667,437,167,1029,1193,81
municipality,NW371,municipality-NW371,Moretele,35170,81,125,2718,165,3029,725,58,27264,583,372,50
municipality,NW372,municipality-NW372,Madibeng,85926,2928,1208,8379,1007,6290,1976,420,52228,10335,860,295
municipality,NW374,municipality-NW374,Kgetlengrivier,8804,57,135,463,96,129,89,56,7299,348,108,24
municipality,NW375,municipality-NW375,Moses Kotane,42561,582,202,976,364,997,212,114,37216,1092,725,81
municipality,NW381,municipality-NW381,Ratlou,19707,33,56,299,122,32,39,74,18676,116,229,31
municipality,NW382,municipality-NW382,Tswaing,23260,48,76,382,163,29,65,64,22098,134,167,34
municipality,NW383,municipality-NW383,Mafikeng,58005,215,469,1335,392,309,331,856,52152,1177,651,118
municipality,NW385,municipality-NW385,Ramotshere Moiloa,26128,69,89,649,175,106,112,79,23992,515,268,74
municipality,NW392,municipality-NW392,Naledi,11812,52,83,190,57,32,50,567,10453,153,126,49
municipality,NW393,municipality-NW393,Mamusa,11126,33,71,163,54,15,32,75,10455,94,119,15
municipality,NW394,municipality-NW394,Greater Taung,33434,49,114,481,90,47,64,1114,30877,206,350,42
municipality,NW397,municipality-NW397,Kagisano/Molopo,18687,34,52,84,83,33,38,411,17514,172,239,27
municipality,NW401,municipality-NW401,Ventersdorp,9905,23,63,304,71,31,50,31,9066,175,67,24
municipality,NW402,municipality-NW402,Tlokwe City Council,32748,446,2056,3324,519,554,748,647,22789,835,352,478
municipality,NW403,municipality-NW403,City of Matlosana,70467,3818,5074,2074,946,402,644,716,53659,2330,500,304
municipality,NW404,municipality-NW404,Maquassi Hills,14121,41,359,172,78,28,42,72,13000,132,166,31
municipality,NC061,municipality-NC061,Richtersveld,1723,86,5,13,7,3,6,1458,13,28,14,90
municipality,NC064,municipality-NC064,Kamiesberg,1308,12,0,5,8,0,6,1061,6,13,9,188
municipality,NC065,municipality-NC065,Hantam,3310,45,6,27,25,3,9,2751,1,15,33,395
municipality,NC066,municipality-NC066,Karoo Hoogland,1604,29,8,2,6,1,2,1310,2,2,7,235
municipality,NC067,municipality-NC067,Khâi-Ma,2156,55,25,30,14,1,6,1608,275,44,12,86
municipality,NC072,municipality-NC072,Umsobomvu,4796,285,145,132,32,12,41,3932,7,48,24,138
municipality,NC073,municipality-NC073,Emthanjeni,7069,237,89,140,53,17,32,6039,39,71,29,323
municipality,NC074,municipality-NC074,Kareeberg,1739,34,15,25,6,7,6,1494,10,5,0,137
municipality,NC075,municipality-NC075,Renosterberg,1726,29,40,57,25,2,5,1468,6,16,20,58
municipality,NC076,municipality-NC076,Thembelihle,2695,62,64,123,13,13,23,2257,30,26,20,64
municipality,NC078,municipality-NC078,Siyancuma,6168,60,80,159,30,13,20,5487,80,61,72,106
municipality,NC081,municipality-NC081,Mier,1129,9,7,10,6,1,4,970,6,97,1,18
municipality,NC082,municipality-NC082,Kai !Garib,14041,202,194,219,76,16,52,9461,3189,239,97,296
municipality,NC083,municipality-NC083,//Khara Hais,16680,314,134,333,97,39,56,14525,179,470,118,415
municipality,NC084,municipality-NC084,!Kheis,2487,30,20,59,10,4,6,2229,30,54,12,33
municipality,NC086,municipality-NC086,Kgatelopele,3317,63,55,65,61,13,19,2840,137,22,6,36
municipality,NC091,municipality-NC091,Sol Plaatjie,43654,812,1200,829,455,139,118,36950,1260,901,481,509
municipality,NC092,municipality-NC092,Dikgatlong,8162,98,78,111,71,11,36,7239,263,114,91,50
municipality,NC093,municipality-NC093,Magareng,4383,42,64,146,18,17,16,3807,182,45,33,13
municipality,NC451,municipality-NC451,Joe Morolong,16152,99,53,59,59,26,46,14720,759,113,193,25
municipality,NC452,municipality-NC452,Ga-Segonyana,17877,154,75,190,80,79,62,15963,705,276,232,61
municipality,NC453,municipality-NC453,Gamagara,7156,107,118,176,95,72,77,5428,696,184,81,122
municipality,CPT,municipality-CPT,City of Cape Town,661411,134534,3592,20639,7944,2130,2507,5469,1510,29674,9278,444134
municipality,WC011,municipality-WC011,Matzikama,11325,492,60,87,15,39,38,1142,31,145,205,9071
municipality,WC013,municipality-WC013,Bergrivier,9516,461,31,59,17,22,26,163,36,232,156,8313
municipality,WC014,municipality-WC014,Saldanha Bay,17068,2926,195,503,148,93,114,606,78,315,223,11867
municipality,WC015,municipality-WC015,Swartland,18026,1832,92,210,38,52,56,284,38,326,122,14976
municipality,WC022,municipality-WC022,Witzenberg,21362,3656,175,163,47,39,55,246,30,859,271,15821
municipality,WC023,municipality-WC023,Drakenstein,45032,3960,234,699,161,91,154,370,90,793,634,37846
municipality,WC025,municipality-WC025,Breede Valley,29034,2057,164,257,70,45,83,212,38,1098,341,24669
municipality,WC026,municipality-WC026,Langeberg,16920,799,68,152,35,23,32,64,16,458,333,14940
municipality,WC031,municipality-WC031,Theewaterskloof,18623,3494,52,107,53,19,41,113,27,403,423,13891
municipality,WC032,municipality-WC032,Overstrand,11457,3832,126,448,103,40,62,100,33,397,171,6145
municipality,WC034,municipality-WC034,Swellendam,5870,413,34,44,10,13,28,37,11,144,36,5100
municipality,WC041,municipality-WC041,Kannaland,4055,20,12,35,7,6,7,17,2,30,37,3882
municipality,WC042,municipality-WC042,Hessequa,7622,145,73,146,12,24,52,32,29,80,77,6952
municipality,WC043,municipality-WC043,Mossel Bay,13727,2401,315,553,104,78,118,199,115,224,249,9371
