geo_code,geoid,name,youth,Communication,"Hearing, even when using a hearing aid",Remembering,"Seeing, even when using eye glasses",Self care,Walking
ZA,country-ZA,South Africa,9012788,77159,133998,137164,398001,92660,80369
WC044,municipality-WC044,George,29844,216,327,301,1068,308,239
WC047,municipality-WC047,Bitou,6884,33,83,67,304,37,58
WC048,municipality-WC048,Knysna,9712,57,81,85,296,72,57
WC051,municipality-WC051,Laingsburg,1086,6,9,3,36,3,8
WC052,municipality-WC052,Prince Albert,1974,12,13,26,67,19,12
WC053,municipality-WC053,Beaufort West,7374,62,70,92,272,90,70
MP303,municipality-MP303,Mkhondo,28042,273,635,479,1338,282,260
MP311,municipality-MP311,Victor Khanye,12175,146,262,216,636,133,166
MP322,municipality-MP322,Mbombela,113693,813,1543,1316,4380,1013,794
NW373,municipality-NW373,Rustenburg,85989,800,1253,1080,3896,777,739
NW384,municipality-NW384,Ditsobotla,27809,227,480,594,1398,353,263
NW396,municipality-NW396,Lekwa-Teemane,9004,52,170,171,414,51,73
NC062,municipality-NC062,Nama Khoi,7045,45,83,76,480,46,65
NC071,municipality-NC071,Ubuntu,2849,24,32,27,103,60,32
NC077,municipality-NC077,Siyathemba,3235,31,30,33,118,35,13
NC085,municipality-NC085,Tsantsabane,5982,42,90,68,291,60,47
NC094,municipality-NC094,Phokwane,10530,206,267,383,628,174,124
WC012,municipality-WC012,Cederberg,7249,55,57,88,182,59,50
WC024,municipality-WC024,Stellenbosch,29593,193,264,299,1247,260,203
WC033,municipality-WC033,Cape Agulhas,4794,39,46,37,162,35,28
WC045,municipality-WC045,Oudtshoorn,15199,87,101,129,430,159,99
EC102,municipality-EC102,Blue Crane Route,5190,52,78,72,179,77,63
EC103,municipality-EC103,Ikwezi,1505,11,12,22,57,12,9
EC104,municipality-EC104,Makana,12647,114,185,217,653,133,157
EC106,municipality-EC106,Sundays River Valley,8578,88,153,127,292,94,84
EC107,municipality-EC107,Baviaans,2655,26,32,54,104,55,38
EC108,municipality-EC108,Kouga,14072,116,162,195,465,129,102
EC109,municipality-EC109,Kou-Kamma,6147,50,83,72,170,63,75
EC121,municipality-EC121,Mbhashe,48148,436,952,904,1437,591,556
EC123,municipality-EC123,Great Kei,6239,57,112,126,211,84,84
EC124,municipality-EC124,Amahlathi,20470,270,411,537,1080,241,213
EC126,municipality-EC126,Ngqushwa,10847,147,255,327,554,132,145
EC127,municipality-EC127,Nkonkobe,19009,194,363,400,1049,227,192
EC131,municipality-EC131,Inxuba Yethemba,10240,77,141,130,507,130,86
EC132,municipality-EC132,Tsolwana,5773,58,113,109,207,67,51
EC133,municipality-EC133,Inkwanca,3867,28,50,57,177,49,40
EC134,municipality-EC134,Lukanji,33933,327,546,575,1879,348,368
EC136,municipality-EC136,Emalahleni,20687,276,457,560,846,302,270
EC137,municipality-EC137,Engcobo,27255,333,485,533,790,392,316
EC138,municipality-EC138,Sakhisizwe,11505,109,232,195,418,137,134
EC141,municipality-EC141,Elundini,26177,263,511,520,847,355,286
EC142,municipality-EC142,Senqu,25529,223,641,683,1263,276,266
EC143,municipality-EC143,Maletswai,7580,36,108,74,319,67,61
EC153,municipality-EC153,Ngquza Hill,54417,519,957,996,1186,825,628
EC154,municipality-EC154,Port St Johns,31602,276,559,462,524,449,253
EC155,municipality-EC155,Nyandeni,59728,520,1220,1152,1499,743,598
EC156,municipality-EC156,Mhlontlo,37253,409,661,1228,859,540,368
EC441,municipality-EC441,Matatiele,36629,359,1042,1051,1616,541,404
EC442,municipality-EC442,Umzimvubu,35643,570,981,919,1325,566,492
EC443,municipality-EC443,Mbizana,54767,577,936,1111,1269,727,642
EC444,municipality-EC444,Ntabankulu,24387,279,472,473,469,354,240
FS161,municipality-FS161,Letsemeng,6283,46,119,120,326,136,51
FS162,municipality-FS162,Kopanong,7753,61,183,144,617,79,69
FS163,municipality-FS163,Mohokare,6076,62,146,132,436,43,38
FS181,municipality-FS181,Masilonyana,10157,107,280,286,871,126,108
FS182,municipality-FS182,Tokologo,4689,68,121,190,320,51,57
FS183,municipality-FS183,Tswelopele,8322,181,209,230,544,130,92
FS184,municipality-FS184,Matjhabeng,70528,577,1506,1182,6324,733,585
FS185,municipality-FS185,Nala,13881,153,427,553,1015,209,168
FS192,municipality-FS192,Dihlabeng,21070,144,442,343,1366,198,182
FS193,municipality-FS193,Nketoana,10770,100,250,235,575,98,79
FS194,municipality-FS194,Maluti a Phofung,67621,589,1548,1489,5161,749,645
FS195,municipality-FS195,Phumelela,8427,57,184,196,480,102,95
FS201,municipality-FS201,Moqhaka,24185,250,564,514,1893,297,194
FS203,municipality-FS203,Ngwathe,19448,146,455,365,1430,276,189
FS204,municipality-FS204,Metsimaholo,24656,184,506,367,1712,242,233
FS205,municipality-FS205,Mafube,10047,64,207,190,631,112,88
GT421,municipality-GT421,Emfuleni,125864,935,1888,1892,8436,1079,1033
GT423,municipality-GT423,Lesedi,15655,117,248,216,903,97,112
GT481,municipality-GT481,Mogale City,55889,409,730,720,3194,470,431
GT482,municipality-GT482,Randfontein,23340,194,358,274,1398,202,191
GT483,municipality-GT483,Westonaria,18733,220,379,271,1026,176,170
KZN211,municipality-KZN211,Vulamehlo,14264,254,341,512,558,297,330
KZN212,municipality-KZN212,Umdoni,13307,152,257,230,714,189,157
KZN213,municipality-KZN213,Umzumbe,30050,613,616,727,1042,403,367
KZN214,municipality-KZN214,UMuziwabantu,18482,210,351,601,476,276,213
KZN215,municipality-KZN215,Ezingoleni,10099,75,136,152,241,94,81
KZN221,municipality-KZN221,uMshwathi,19881,185,358,351,694,270,303
KZN222,municipality-KZN222,uMngeni,14398,134,454,348,965,137,196
KZN223,municipality-KZN223,Mpofana,6672,63,142,149,234,76,78
KZN224,municipality-KZN224,Impendle,6248,130,108,144,236,50,57
KZN225,municipality-KZN225,The Msunduzi,110617,1139,1875,1892,6008,1166,1141
KZN226,municipality-KZN226,Mkhambathini,11371,143,267,317,371,167,199
KZN232,municipality-KZN232,Emnambithi/Ladysmith,41786,396,739,788,1963,492,348
KZN233,municipality-KZN233,Indaka,19732,222,334,405,624,231,243
KZN234,municipality-KZN234,Umtshezi,14330,136,321,277,690,212,177
KZN235,municipality-KZN235,Okhahlamba,24193,233,429,425,743,277,219
KZN236,municipality-KZN236,Imbabazane,21243,356,425,332,752,301,211
KZN242,municipality-KZN242,Nqutu,32130,254,625,508,1162,468,378
KZN244,municipality-KZN244,Msinga,32436,407,662,565,955,545,560
KZN245,municipality-KZN245,Umvoti,18837,315,329,453,708,261,220
KZN252,municipality-KZN252,Newcastle,69509,574,1286,1064,4016,593,551
KZN254,municipality-KZN254,Dannhauser,20307,252,396,387,983,206,170
KZN261,municipality-KZN261,eDumbe,15297,173,271,260,496,250,165
KZN262,municipality-KZN262,UPhongolo,25623,289,541,504,925,565,257
KZN263,municipality-KZN263,Abaqulusi,38549,347,768,740,1779,504,450
KZN265,municipality-KZN265,Nongoma,38777,603,966,893,1422,825,618
KZN266,municipality-KZN266,Ulundi,35212,336,740,737,1112,559,532
KZN272,municipality-KZN272,Jozini,37341,582,943,877,1303,626,505
KZN273,municipality-KZN273,The Big 5 False Bay,6550,103,118,111,176,121,92
KZN274,municipality-KZN274,Hlabisa,14134,149,377,283,590,163,180
KZN275,municipality-KZN275,Mtubatuba,31423,379,643,596,1187,479,392
KZN281,municipality-KZN281,Mfolozi,22461,180,329,385,655,323,195
KZN283,municipality-KZN283,Ntambanana,14448,145,315,275,437,191,179
KZN284,municipality-KZN284,uMlalazi,40130,547,889,1162,1694,587,560
KZN285,municipality-KZN285,Mthonjaneni,8674,70,157,243,242,131,101
KZN286,municipality-KZN286,Nkandla,21887,439,584,488,774,454,424
KZN291,municipality-KZN291,Mandeni,25727,306,501,551,1185,312,428
KZN293,municipality-KZN293,Ndwedwe,26298,498,644,756,1017,697,583
KZN294,municipality-KZN294,Maphumulo,18278,215,385,366,592,293,193
KZN431,municipality-KZN431,Ingwe,18958,287,516,501,708,260,429
KZN432,municipality-KZN432,Kwa Sani,2087,11,54,52,93,23,14
KZN434,municipality-KZN434,Ubuhlebezwe,18905,186,367,397,652,250,246
KZN435,municipality-KZN435,Umzimkhulu,35973,661,583,791,933,503,326
LIM331,municipality-LIM331,Greater Giyani,53598,267,457,385,1107,360,290
LIM332,municipality-LIM332,Greater Letaba,46492,236,516,343,974,357,267
LIM333,municipality-LIM333,Greater Tzaneen,77413,464,869,715,2080,670,493
LIM335,municipality-LIM335,Maruleng,19352,120,277,195,542,162,160
LIM341,municipality-LIM341,Musina,12006,76,99,86,294,82,87
LIM342,municipality-LIM342,Mutale,19187,84,155,153,381,135,123
LIM343,municipality-LIM343,Thulamela,132916,808,1341,3917,3469,1188,831
LIM344,municipality-LIM344,Makhado,102251,595,1110,956,3119,772,753
LIM351,municipality-LIM351,Blouberg,34108,185,302,246,630,277,197
LIM353,municipality-LIM353,Molemole,20869,157,298,206,752,219,137
LIM354,municipality-LIM354,Polokwane,122419,810,1571,1211,4803,1080,816
LIM355,municipality-LIM355,Lepele-Nkumpi,44501,311,431,367,995,400,262
LIM361,municipality-LIM361,Thabazimbi,11896,163,164,130,413,113,121
LIM362,municipality-LIM362,Lephalale,20598,185,246,170,603,209,136
LIM365,municipality-LIM365,Modimolle,11590,109,201,153,467,105,95
LIM366,municipality-LIM366,Bela-Bela,10351,100,144,121,404,94,77
BUF,municipality-BUF,Buffalo City,124098,1000,1553,1740,5861,1155,1080
EC101,municipality-EC101,Camdeboo,7547,54,58,65,275,70,53
EC105,municipality-EC105,Ndlambe,8590,77,153,136,360,98,76
EC122,municipality-EC122,Mnquma,45353,643,966,1059,1833,731,515
EC128,municipality-EC128,Nxuba,3587,27,54,43,155,29,25
EC135,municipality-EC135,Intsika Yethu,24728,300,478,532,823,344,268
EC144,municipality-EC144,Gariep,5445,56,104,93,272,70,56
EC157,municipality-EC157,King Sabata Dalindyebo,91571,731,1582,1503,3303,1127,1090
NMA,municipality-NMA,Nelson Mandela Bay,187720,1555,2156,2479,7833,2124,1630
FS164,municipality-FS164,Naledi,4534,39,110,145,286,56,45
FS191,municipality-FS191,Setsoto,20129,175,484,481,1428,250,160
FS196,municipality-FS196,Mantsopa,9046,88,221,207,685,168,83
MAN,municipality-MAN,Mangaung,135217,1259,2373,3022,11281,1379,1217
EKU,municipality-EKU,Ekurhuleni,514167,3756,6330,6134,25792,4011,3824
GT422,municipality-GT422,Midvaal,13597,137,210,215,679,109,110
GT484,municipality-GT484,Merafong City,30222,291,537,487,1877,268,247
JHB,municipality-JHB,City of Johannesburg,696041,5228,7374,7550,33213,5322,5133
TSH,municipality-TSH,City of Tshwane,476983,4013,5662,5575,23709,3663,3627
ETH,municipality-ETH,eThekwini,609851,5059,8396,9150,30251,6078,5875
KZN216,municipality-KZN216,Hibiscus Coast,43764,409,718,859,1630,501,455
KZN227,municipality-KZN227,Richmond,11341,207,303,292,503,288,197
KZN241,municipality-KZN241,Endumeni,11375,82,193,165,601,109,98
KZN253,municipality-KZN253,Emadlangeni,5991,60,121,125,238,62,59
KZN271,municipality-KZN271,Umhlabuyalingana,30899,266,416,714,909,405,306
KZN282,municipality-KZN282,uMhlathuze,60660,477,817,821,2790,581,527
KZN292,municipality-KZN292,KwaDukuza,41865,417,711,793,2052,467,441
KZN433,municipality-KZN433,Greater Kokstad,12528,81,161,157,491,94,104
LIM334,municipality-LIM334,Ba-Phalaborwa,27961,135,240,217,760,210,148
LIM352,municipality-LIM352,Aganang,25846,188,420,334,926,262,197
LIM364,municipality-LIM364,Mookgopong,5667,39,54,66,159,39,39
LIM367,municipality-LIM367,Mogalakwena,59917,461,945,707,2663,709,485
LIM471,municipality-LIM471,Ephraim Mogale,23292,208,379,294,781,235,206
LIM472,municipality-LIM472,Elias Motsoaledi,48231,418,814,667,1812,628,468
LIM473,municipality-LIM473,Makhuduthamaga,51769,347,687,511,1297,578,330
LIM474,municipality-LIM474,Fetakgomo,17448,149,177,191,298,234,153
LIM475,municipality-LIM475,Greater Tubatse,65624,374,841,623,1502,644,485
MP301,municipality-MP301,Albert Luthuli,39205,281,728,658,1992,341,326
MP302,municipality-MP302,Msukaligwa,26802,217,547,400,1691,351,258
MP304,municipality-MP304,Pixley Ka Seme,14767,131,290,246,723,161,122
MP305,municipality-MP305,Lekwa,19155,132,370,297,1216,187,172
MP306,municipality-MP306,Dipaleseng,7278,66,159,128,430,82,86
MP307,municipality-MP307,Govan Mbeki,50433,468,867,796,3102,511,548
MP312,municipality-MP312,Emalahleni,67890,515,965,818,3482,611,518
MP313,municipality-MP313,Steve Tshwete,36890,297,523,506,1698,323,341
MP314,municipality-MP314,Emakhazeni,7782,59,149,109,547,58,58
MP315,municipality-MP315,Thembisile,60807,446,999,1018,2745,554,498
MP316,municipality-MP316,Dr JS Moroka,48911,361,712,654,2051,457,433
MP321,municipality-MP321,Thaba Chweu,15079,131,207,190,604,185,151
MP323,municipality-MP323,Umjindi,11123,60,150,119,447,80,67
MP324,municipality-MP324,Nkomazi,84589,586,1073,811,2296,789,721
MP325,municipality-MP325,Bushbuckridge,117364,637,1057,921,2429,885,679
NW371,municipality-NW371,Moretele,33048,303,449,503,1388,353,248
NW372,municipality-NW372,Madibeng,78853,760,1134,1054,3513,768,664
NW374,municipality-NW374,Kgetlengrivier,7803,85,130,178,353,94,92
NW375,municipality-NW375,Moses Kotane,38860,329,624,563,1759,395,310
NW381,municipality-NW381,Ratlou,18192,230,476,597,966,313,232
NW382,municipality-NW382,Tswaing,21968,187,452,580,1024,290,219
NW383,municipality-NW383,Mafikeng,53151,539,1021,1236,3410,621,569
NW385,municipality-NW385,Ramotshere Moiloa,23856,209,403,391,963,301,237
NW392,municipality-NW392,Naledi,10954,125,225,282,615,158,153
NW393,municipality-NW393,Mamusa,10429,89,216,204,472,109,124
NW394,municipality-NW394,Greater Taung,31464,311,724,1299,1872,405,332
NW397,municipality-NW397,Kagisano/Molopo,17272,212,602,647,1253,279,303
NW401,municipality-NW401,Ventersdorp,9277,138,227,295,436,150,115
NW402,municipality-NW402,Tlokwe City Council,30135,210,399,411,1516,252,226
NW403,municipality-NW403,City of Matlosana,64452,547,1355,1279,4181,662,583
NW404,municipality-NW404,Maquassi Hills,12962,138,336,293,718,191,204
NC061,municipality-NC061,Richtersveld,1599,12,21,14,78,17,12
NC064,municipality-NC064,Kamiesberg,1191,14,24,23,89,17,15
NC065,municipality-NC065,Hantam,3120,19,31,27,104,14,23
NC066,municipality-NC066,Karoo Hoogland,1504,14,26,22,104,23,19
NC067,municipality-NC067,Khâi-Ma,2038,18,57,27,74,35,22
NC072,municipality-NC072,Umsobomvu,4341,40,86,66,251,52,37
NC073,municipality-NC073,Emthanjeni,6583,54,67,63,285,59,44
NC074,municipality-NC074,Kareeberg,1600,16,27,17,87,32,20
NC075,municipality-NC075,Renosterberg,1566,12,17,9,82,9,17
NC076,municipality-NC076,Thembelihle,2529,7,31,25,92,14,22
NC078,municipality-NC078,Siyancuma,5696,47,77,92,205,78,48
NC081,municipality-NC081,Mier,1021,10,11,16,40,14,9
NC082,municipality-NC082,Kai !Garib,12733,87,188,165,430,119,110
NC083,municipality-NC083,//Khara Hais,15392,130,158,238,557,232,138
NC084,municipality-NC084,!Kheis,2278,27,21,28,70,20,13
NC086,municipality-NC086,Kgatelopele,3070,37,56,36,169,51,30
NC091,municipality-NC091,Sol Plaatjie,40181,326,618,738,2357,495,332
NC092,municipality-NC092,Dikgatlong,7443,74,163,146,451,128,61
NC093,municipality-NC093,Magareng,4056,33,74,67,237,50,41
NC451,municipality-NC451,Joe Morolong,14934,330,436,745,760,318,150
NC452,municipality-NC452,Ga-Segonyana,16419,133,291,265,874,238,145
NC453,municipality-NC453,Gamagara,6465,59,96,118,261,92,52
CPT,municipality-CPT,City of Cape Town,600926,4338,6235,6445,23405,5150,4745
WC011,municipality-WC011,Matzikama,10007,99,139,120,337,125,117
WC013,municipality-WC013,Bergrivier,8694,73,71,83,225,62,59
WC014,municipality-WC014,Saldanha Bay,15670,99,153,145,520,114,106
WC015,municipality-WC015,Swartland,16796,100,154,126,479,150,102
WC022,municipality-WC022,Witzenberg,19911,89,154,112,536,123,114
WC023,municipality-WC023,Drakenstein,41523,226,285,319,1111,504,240
WC025,municipality-WC025,Breede Valley,26768,214,273,268,803,278,223
WC026,municipality-WC026,Langeberg,15436,120,186,143,372,143,122
WC031,municipality-WC031,Theewaterskloof,16956,100,138,127,374,131,108
WC032,municipality-WC032,Overstrand,10565,73,134,106,351,78,75
WC034,municipality-WC034,Swellendam,5373,51,33,47,108,43,45
WC041,municipality-WC041,Kannaland,3683,33,35,48,125,47,45
WC042,municipality-WC042,Hessequa,7007,37,41,59,212,59,53
WC043,municipality-WC043,Mossel Bay,12245,102,144,125,365,145,116
