geo_code,geoid,name,total,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+
ZA,country-ZA,South Africa,43880663,9314612,5267335,3405601,2387598,1822945,1258786,1216077,4149281,3206896,3931847,2973211,2200119,1441449,1304906
WC044,municipality-WC044,George,166413,26410,14855,11439,10242,7216,3706,2300,19239,13840,15344,13922,11512,8322,8066
WC047,municipality-WC047,Bitou,39665,6312,3477,3390,2814,1736,730,411,4269,2901,4193,3409,2364,1692,1967
WC048,municipality-WC048,Knysna,57091,8684,4975,4280,3494,2352,1199,834,6312,4123,5624,4865,3598,3139,3612
WC051,municipality-WC051,Laingsburg,7350,1245,567,492,490,348,194,152,700,509,621,642,570,457,363
WC052,municipality-WC052,Prince Albert,12197,2864,1445,1116,952,779,381,256,848,648,595,649,657,481,526
WC053,municipality-WC053,Beaufort West,42788,9872,4612,3421,3144,2341,1426,980,3778,2598,2496,2485,2317,1781,1537
MP303,municipality-MP303,Mkhondo,126594,38739,20925,11556,7935,6057,3899,3523,8598,5892,6724,5094,3426,2198,2028
MP311,municipality-MP311,Victor Khanye,62312,12145,6975,4959,3402,2692,1714,1203,6521,4869,6013,4547,3361,2221,1690
MP322,municipality-MP322,Mbombela,526185,111058,69550,45254,29300,18908,11839,11085,56208,41158,47673,35410,23627,13499,11616
NW373,municipality-NW373,Rustenburg,437616,53497,31329,25140,17425,12625,7223,6161,58079,45760,70713,50421,34631,14852,9760
NW384,municipality-NW384,Ditsobotla,150594,39079,20022,14552,10788,8564,5627,4784,9753,7181,8569,7140,6018,4344,4173
NW396,municipality-NW396,Lekwa-Teemane,47980,12497,6434,4466,3186,2352,1690,1479,3169,2267,2845,2408,1953,1667,1567
NC062,municipality-NC062,Nama Khoi,43070,6012,3555,2535,2495,2002,1388,1484,4837,3340,3550,3355,3046,2587,2884
NC071,municipality-NC071,Ubuntu,16344,4211,1859,1307,1246,876,557,538,1270,878,888,798,702,569,645
NC077,municipality-NC077,Siyathemba,20112,4536,2174,1602,1413,1224,777,790,1563,1108,1231,1105,950,803,836
NC085,municipality-NC085,Tsantsabane,31142,4613,2552,1909,1467,1096,733,974,3972,3143,3662,2574,1851,1220,1376
NC094,municipality-NC094,Phokwane,57221,14439,7560,5089,3813,2998,2190,2609,4135,2683,2982,2647,2292,1677,2107
WC012,municipality-WC012,Cederberg,44622,6701,3346,2866,2808,2021,1048,754,5218,4037,4314,3870,3469,2100,2070
WC024,municipality-WC024,Stellenbosch,114807,13304,8991,6791,5479,3770,2115,1323,15180,13915,13915,10901,8786,5665,4672
WC033,municipality-WC033,Cape Agulhas,29534,3660,2063,1576,1594,1171,577,465,3447,2704,2837,2695,2656,1992,2097
WC045,municipality-WC045,Oudtshoorn,85302,17772,9986,7093,6246,5004,2939,2058,7236,5156,4755,5166,4552,3663,3676
EC102,municipality-EC102,Blue Crane Route,32226,7538,3756,2703,2555,2111,1420,1169,2104,1555,1681,1575,1625,1249,1185
EC103,municipality-EC103,Ikwezi,9367,2456,1121,791,758,668,376,329,521,373,441,387,458,334,354
EC104,municipality-EC104,Makana,67247,11595,7283,5440,4703,3863,2492,2275,6350,4611,5115,4458,4045,2563,2454
EC106,municipality-EC106,Sundays River Valley,48231,10539,5781,4479,3981,2871,1657,1332,3192,2780,3620,2861,2216,1597,1325
EC107,municipality-EC107,Baviaans,16525,4274,1986,1502,1360,1013,584,479,968,671,761,754,858,686,629
EC108,municipality-EC108,Kouga,84570,15963,8267,6924,5685,4203,2278,1541,7986,5568,7061,5749,4411,3952,4982
EC109,municipality-EC109,Kou-Kamma,37530,8084,3673,3081,2893,1977,1213,594,3306,2584,3095,2456,2056,1336,1182
EC121,municipality-EC121,Mbhashe,226994,82858,41899,15982,12239,13457,11514,14838,8427,5332,4464,3775,3241,3362,5606
EC123,municipality-EC123,Great Kei,34309,9177,4941,3091,2671,2458,1503,1938,1396,1009,1224,1222,1137,1001,1541
EC124,municipality-EC124,Amahlathi,111434,31842,16944,8839,7713,8234,6149,6565,5146,3264,3248,3221,3316,2992,3961
EC126,municipality-EC126,Ngqushwa,64521,18106,9082,4720,4456,4738,3956,5323,2661,1575,1521,1533,1697,1966,3187
EC127,municipality-EC127,Nkonkobe,107298,28857,14908,8139,7602,7536,5940,7353,5810,3456,3330,3481,3573,3166,4147
EC131,municipality-EC131,Inxuba Yethemba,58774,12856,6504,4753,4089,3150,2320,1742,5069,3488,3629,3394,3218,2481,2081
EC132,municipality-EC132,Tsolwana,30091,9137,4574,2422,1952,1789,1589,1652,1419,982,952,905,866,807,1045
EC133,municipality-EC133,Inkwanca,19786,5267,2927,1787,1330,1094,875,760,1097,760,963,778,834,696,618
EC134,municipality-EC134,Lukanji,170563,41076,22897,12889,10314,9638,7332,7969,14295,9458,9438,8056,7276,4990,4935
EC136,municipality-EC136,Emalahleni,106350,35579,17640,7258,6133,7171,6335,7851,4095,2371,2024,1936,1920,2212,3825
EC137,municipality-EC137,Engcobo,132278,50073,22431,9405,7842,7894,6736,8118,5311,3038,2338,2294,1993,1821,2984
EC138,municipality-EC138,Sakhisizwe,56072,17555,9313,4301,3319,3490,2843,3119,3057,1844,1679,1458,1401,1201,1492
EC141,municipality-EC141,Elundini,120926,40075,20729,9083,6979,7160,6649,7554,5350,3543,3000,2725,2257,2188,3634
EC142,municipality-EC142,Senqu,117938,36860,20128,10001,6949,6388,5815,6567,5707,3853,3592,3110,2757,2598,3613
EC143,municipality-EC143,Maletswai,39668,9806,4956,3306,2357,1784,1307,1059,3639,2318,2965,2283,1682,1188,1018
EC153,municipality-EC153,Ngquza Hill,241195,97119,45888,20271,13149,11710,8474,11555,9729,5917,4864,4255,2943,2211,3110
EC154,municipality-EC154,Port St Johns,136284,56498,27475,10730,7420,6892,5407,6516,4216,2608,2001,1756,1362,1271,2132
EC155,municipality-EC155,Nyandeni,254930,99009,50277,21567,14838,13120,9924,11748,9799,6621,4756,4081,3048,2452,3690
EC156,municipality-EC156,Mhlontlo,167292,60483,31533,12562,9276,9589,8143,9751,6795,4361,3150,3041,2593,2418,3597
EC441,municipality-EC441,Matatiele,173316,60807,28901,13198,9490,9242,8177,9063,9456,5431,4616,4037,3281,3138,4479
EC442,municipality-EC442,Umzimvubu,166250,59482,28901,13037,9227,8554,7626,8552,8588,5080,4298,3472,2859,2638,3936
EC443,municipality-EC443,Mbizana,245533,101170,46350,19192,13317,11961,8532,11254,11016,6409,4548,3804,2799,2077,3104
EC444,municipality-EC444,Ntabankulu,110048,44100,21534,9313,5953,5859,4759,5926,3598,2059,1513,1426,1111,1063,1834
FS161,municipality-FS161,Letsemeng,34091,8143,4264,2797,2297,1903,1171,812,2745,1991,2244,1909,1524,1215,1076
FS162,municipality-FS162,Kopanong,43410,10121,5360,3554,2837,2220,1574,1304,3362,2221,2926,2420,1996,1715,1800
FS163,municipality-FS163,Mohokare,30820,8468,4548,2942,2065,1532,1054,1015,1781,1259,1593,1385,1140,1088,950
FS181,municipality-FS181,Masilonyana,52386,13941,7133,5042,3721,2759,2031,1725,3397,2361,2638,2450,2041,1546,1601
FS182,municipality-FS182,Tokologo,25833,6954,3410,2364,1931,1491,902,662,1458,1109,1450,1329,1039,930,804
FS183,municipality-FS183,Tswelopele,43309,12864,6494,4332,2974,2465,1777,1376,2311,1621,1949,1726,1356,1054,1010
FS184,municipality-FS184,Matjhabeng,341514,65456,39895,27196,18871,17191,10332,7728,34526,24508,27109,23412,22750,12674,9866
FS185,municipality-FS185,Nala,72727,20509,10634,7588,5099,4167,3250,2587,4209,2745,3160,2630,2355,1989,1805
FS192,municipality-FS192,Dihlabeng,118691,25531,14023,10717,7516,5519,3708,2807,11027,7064,9051,7470,6133,4260,3865
FS193,municipality-FS193,Nketoana,56608,15445,8529,5715,3757,3132,2260,1645,3404,2228,2736,2278,2090,1714,1675
FS194,municipality-FS194,Maluti a Phofung,314086,89269,52106,31639,22598,17364,12637,11363,18589,13308,12015,10390,9610,6671,6527
FS195,municipality-FS195,Phumelela,43493,11749,6365,4227,3137,2634,1789,1413,2375,1808,2124,1705,1579,1283,1305
FS201,municipality-FS201,Moqhaka,138455,29396,16764,11736,8906,7248,5341,4256,11379,7814,9183,8059,7315,5822,5236
FS203,municipality-FS203,Ngwathe,107400,26918,14005,10089,7330,5792,4257,3691,7044,4720,5780,4868,4245,3937,4724
FS204,municipality-FS204,Metsimaholo,123837,22078,12502,10203,7043,4852,2990,2233,13288,10384,13002,9520,7422,4866,3454
FS205,municipality-FS205,Mafube,51992,13860,7423,4961,3440,2851,2022,1691,3351,2223,2764,2242,1926,1476,1762
GT421,municipality-GT421,Emfuleni,611190,98247,60326,46797,34836,25029,17787,13140,68244,54015,62182,49074,38277,24877,18359
GT423,municipality-GT423,Lesedi,84524,14136,7971,6143,4601,3137,2023,1592,9498,6884,9083,7179,5256,3779,3242
GT481,municipality-GT481,Mogale City,293625,37756,22414,20404,14016,9914,5506,3459,35875,28682,40024,30673,21793,13373,9736
GT482,municipality-GT482,Randfontein,128357,17254,9745,7999,6057,4681,2834,1911,16273,12505,15489,12618,10397,6111,4483
GT483,municipality-GT483,Westonaria,91761,13926,8057,6795,4540,3273,1471,899,9461,8019,13195,9880,8139,2733,1373
KZN211,municipality-KZN211,Vulamehlo,68362,23083,12643,6289,4669,4498,3331,3399,2539,1657,1511,1197,1063,1054,1429
KZN212,municipality-KZN212,Umdoni,65235,12936,8124,5549,3705,2864,1849,1651,5390,4503,4698,4056,3388,2901,3621
KZN213,municipality-KZN213,Umzumbe,142598,47481,25737,12438,9112,8841,7189,7873,6271,4197,3266,2711,2287,2144,3051
KZN214,municipality-KZN214,UMuziwabantu,86958,31671,15637,7489,5305,4532,3316,3626,4234,2717,2499,2065,1537,1025,1305
KZN215,municipality-KZN215,Ezingoleni,47997,16534,8718,4436,3054,2845,2120,2174,1951,1336,1359,1048,802,738,882
KZN221,municipality-KZN221,uMshwathi,95471,26788,15581,8418,5839,4944,4081,3598,5007,4871,5425,3940,3041,2095,1843
KZN222,municipality-KZN222,uMngeni,73253,12120,7503,5456,3801,2297,1713,1435,7288,6005,7666,6090,4354,3291,4234
KZN223,municipality-KZN223,Mpofana,32535,8459,4534,3023,2106,1488,1132,905,2033,1978,2684,1748,1135,762,548
KZN224,municipality-KZN224,Impendle,28629,9447,4894,2361,1606,1558,1575,1498,1479,977,771,617,592,594,660
KZN225,municipality-KZN225,The Msunduzi,523791,91626,61927,43451,29091,19868,14718,11903,55080,45419,47047,38341,28063,20394,16863
KZN226,municipality-KZN226,Mkhambathini,55256,15069,8789,5407,3483,2886,2292,1891,2714,2789,3620,2419,1595,1236,1066
KZN232,municipality-KZN232,Emnambithi/Ladysmith,206584,54003,29718,18994,12002,9616,7235,5886,17410,11672,13176,10055,7527,5076,4214
KZN233,municipality-KZN233,Indaka,93466,37762,18331,8255,5375,5000,4186,4291,3162,1767,1233,1033,868,896,1307
KZN234,municipality-KZN234,Umtshezi,74207,21433,10918,7185,4717,3526,2753,1990,5428,3648,3788,3326,2451,1643,1401
KZN235,municipality-KZN235,Okhahlamba,113689,40952,20396,11205,7542,5947,4926,4561,5036,2972,2983,2332,1634,1521,1682
KZN236,municipality-KZN236,Imbabazane,99214,33200,18403,10530,6651,5585,4698,3902,4763,2947,2530,1902,1480,1296,1327
KZN242,municipality-KZN242,Nqutu,149937,59029,29364,13459,8843,7874,6548,6657,5248,3218,2595,1985,1623,1568,1926
KZN244,municipality-KZN244,Msinga,161014,66449,29950,13363,10216,8253,7114,7244,5409,3004,2474,1895,1459,1615,2569
KZN245,municipality-KZN245,Umvoti,91168,29228,15011,7459,5584,4778,3650,3557,4602,3912,4245,3111,2479,1765,1787
KZN252,municipality-KZN252,Newcastle,308791,79662,46626,28685,18094,14253,11412,8907,24790,18357,17479,14060,11525,8323,6618
KZN254,municipality-KZN254,Dannhauser,89157,29988,16811,8752,5257,4747,4155,3763,4020,2847,2349,1838,1675,1467,1488
KZN261,municipality-KZN261,eDumbe,72638,26506,13784,7041,4509,3967,2858,2931,2833,1942,2002,1338,1151,745,1031
KZN262,municipality-KZN262,UPhongolo,110360,39088,20819,10241,6231,5132,3849,4133,5011,4119,4545,2919,1875,1149,1249
KZN263,municipality-KZN263,Abaqulusi,178307,56779,30567,16369,10159,8657,6799,6287,10630,7433,7734,5816,4665,3312,3100
KZN265,municipality-KZN265,Nongoma,170078,63647,34837,15168,9364,8695,6938,7438,7373,4773,3596,2723,2013,1643,1870
KZN266,municipality-KZN266,Ulundi,163379,56720,29791,14646,8923,8437,6560,6638,9074,6028,5078,3993,3416,2076,1999
KZN272,municipality-KZN272,Jozini,161528,60749,31870,15208,10075,7967,4974,5594,7367,4822,4485,3326,2206,1240,1645
KZN273,municipality-KZN273,The Big 5 False Bay,29466,10257,5621,2835,1737,1328,949,1094,1319,989,1361,876,512,282,306
KZN274,municipality-KZN274,Hlabisa,63048,22969,12632,5520,3627,3303,2500,2734,2954,1928,1488,1105,883,680,725
KZN275,municipality-KZN275,Mtubatuba,147745,49478,26941,14081,8359,7055,4692,5461,9114,6144,5716,4126,2801,1859,1918
KZN281,municipality-KZN281,Mfolozi,108022,32971,19227,11414,6465,5706,3692,3982,6471,4625,5280,3120,2206,1391,1472
KZN283,municipality-KZN283,Ntambanana,65989,23065,13344,6511,3974,4053,2601,2917,2687,1849,1567,1054,844,692,831
KZN284,municipality-KZN284,uMlalazi,183898,58465,32986,15610,10465,9371,8181,8252,10078,7140,6801,5562,4319,3266,3402
KZN285,municipality-KZN285,Mthonjaneni,42141,14144,6983,3555,2290,2103,1526,1594,2238,1825,2096,1431,1084,632,640
KZN286,municipality-KZN286,Nkandla,102509,37606,19600,8538,5881,5680,5025,5396,3991,2619,2150,1630,1394,1352,1647
KZN291,municipality-KZN291,Mandeni,122104,33405,19425,12154,7644,5910,4114,3561,8119,6909,7942,5466,3535,2131,1789
KZN293,municipality-KZN293,Ndwedwe,124515,41401,22809,11460,7866,7394,6133,6083,5235,4011,3314,2394,2133,1982,2300
KZN294,municipality-KZN294,Maphumulo,86855,31996,16319,6656,4967,4811,4391,4754,3689,2393,1567,1293,1110,1283,1626
KZN431,municipality-KZN431,Ingwe,90374,32675,16104,7900,5614,4859,4097,3601,3984,2609,2524,2017,1516,1357,1517
KZN432,municipality-KZN432,Kwa Sani,10889,2290,1216,841,551,413,291,220,621,788,1368,964,576,415,335
KZN434,municipality-KZN434,Ubuhlebezwe,88231,29657,15568,7735,5608,5136,4270,3769,4017,2866,2838,2148,1714,1336,1569
KZN435,municipality-KZN435,Umzimkhulu,161658,61297,30319,13607,9458,8330,6776,7364,6785,4450,3344,2927,2319,1974,2708
LIM331,municipality-LIM331,Greater Giyani,218995,71027,41624,21608,13649,10538,6889,9843,12091,8056,6014,5781,4708,2858,4309
LIM332,municipality-LIM332,Greater Letaba,192952,60680,37473,17888,12302,9596,7081,10350,8422,6487,5936,5379,3947,2785,4626
