,geo_code,name,youth,Communication,"Hearing, even when using a hearing aid",Remembering,"Seeing, even when using eye glasses",Self care,Walking,province
0,ZA,South Africa,9012788,77159,133998,137164,398001,92660,80369,South Africa
1,WC044,George,29844,216,327,301,1068,308,239,Western Cape
2,WC047,Bitou,6884,33,83,67,304,37,58,Western Cape
3,WC048,Knysna,9712,57,81,85,296,72,57,Western Cape
4,WC051,Laingsburg,1086,6,9,3,36,3,8,Western Cape
5,WC052,Prince Albert,1974,12,13,26,67,19,12,Western Cape
6,WC053,Beaufort West,7374,62,70,92,272,90,70,Western Cape
7,MP303,Mkhondo,28042,273,635,479,1338,282,260,Mpumalanga
8,MP311,Victor Khanye,12175,146,262,216,636,133,166,Mpumalanga
9,MP322,Mbombela,113693,813,1543,1316,4380,1013,794,North West
10,NW373,Rustenburg,85989,800,1253,1080,3896,777,739,North West
11,NW384,Ditsobotla,27809,227,480,594,1398,353,263,North West
12,NW396,Lekwa-Teemane,9004,52,170,171,414,51,73,Northern Cape
13,NC062,Nama Khoi,7045,45,83,76,480,46,65,Northern Cape
14,NC071,Ubuntu,2849,24,32,27,103,60,32,Northern Cape
15,NC077,Siyathemba,3235,31,30,33,118,35,13,Northern Cape
16,NC085,Tsantsabane,5982,42,90,68,291,60,47,Northern Cape
17,NC094,Phokwane,10530,206,267,383,628,174,124,Western Cape
18,WC012,Cederberg,7249,55,57,88,182,59,50,Western Cape
19,WC024,Stellenbosch,29593,193,264,299,1247,260,203,Western Cape
20,WC033,Cape Agulhas,4794,39,46,37,162,35,28,Western Cape
21,WC045,Oudtshoorn,15199,87,101,129,430,159,99,Eastern Cape
22,EC102,Blue Crane Route,5190,52,78,72,179,77,63,Eastern Cape
23,EC103,Ikwezi,1505,11,12,22,57,12,9,Eastern Cape
24,EC104,Makana,12647,114,185,217,653,133,157,Eastern Cape
25,EC106,Sundays River Valley,8578,88,153,127,292,94,84,Eastern Cape
26,EC107,Baviaans,2655,26,32,54,104,55,38,Eastern Cape
27,EC108,Kouga,14072,116,162,195,465,129,102,Eastern Cape
28,EC109,Kou-Kamma,6147,50,83,72,170,63,75,Eastern Cape
29,EC121,Mbhashe,48148,436,952,904,1437,591,556,Eastern Cape
30,EC123,Great Kei,6239,57,112,126,211,84,84,Eastern Cape
31,EC124,Amahlathi,20470,270,411,537,1080,241,213,Eastern Cape
32,EC126,Ngqushwa,10847,147,255,327,554,132,145,Eastern Cape
33,EC127,Nkonkobe,19009,194,363,400,1049,227,192,Eastern Cape
34,EC131,Inxuba Yethemba,10240,77,141,130,507,130,86,Eastern Cape
35,EC132,Tsolwana,5773,58,113,109,207,67,51,Eastern Cape
36,EC133,Inkwanca,3867,28,50,57,177,49,40,Eastern Cape
37,EC134,Lukanji,33933,327,546,575,1879,348,368,Eastern Cape
38,EC136,Emalahleni,20687,276,457,560,846,302,270,Eastern Cape
39,EC137,Engcobo,27255,333,485,533,790,392,316,Eastern Cape
40,EC138,Sakhisizwe,11505,109,232,195,418,137,134,Eastern Cape
41,EC141,Elundini,26177,263,511,520,847,355,286,Eastern Cape
42,EC142,Senqu,25529,223,641,683,1263,276,266,Eastern Cape
43,EC143,Maletswai,7580,36,108,74,319,67,61,Eastern Cape
44,EC153,Ngquza Hill,54417,519,957,996,1186,825,628,Eastern Cape
45,EC154,Port St Johns,31602,276,559,462,524,449,253,Eastern Cape
46,EC155,Nyandeni,59728,520,1220,1152,1499,743,598,Eastern Cape
47,EC156,Mhlontlo,37253,409,661,1228,859,540,368,Eastern Cape
48,EC441,Matatiele,36629,359,1042,1051,1616,541,404,Eastern Cape
49,EC442,Umzimvubu,35643,570,981,919,1325,566,492,Eastern Cape
50,EC443,Mbizana,54767,577,936,1111,1269,727,642,Eastern Cape
51,EC444,Ntabankulu,24387,279,472,473,469,354,240,Free State
52,FS161,Letsemeng,6283,46,119,120,326,136,51,Free State
53,FS162,Kopanong,7753,61,183,144,617,79,69,Free State
54,FS163,Mohokare,6076,62,146,132,436,43,38,Free State
55,FS181,Masilonyana,10157,107,280,286,871,126,108,Free State
56,FS182,Tokologo,4689,68,121,190,320,51,57,Free State
57,FS183,Tswelopele,8322,181,209,230,544,130,92,Free State
58,FS184,Matjhabeng,70528,577,1506,1182,6324,733,585,Free State
59,FS185,Nala,13881,153,427,553,1015,209,168,Free State
60,FS192,Dihlabeng,21070,144,442,343,1366,198,182,Free State
61,FS193,Nketoana,10770,100,250,235,575,98,79,Free State
62,FS194,Maluti a Phofung,67621,589,1548,1489,5161,749,645,Free State
63,FS195,Phumelela,8427,57,184,196,480,102,95,Free State
64,FS201,Moqhaka,24185,250,564,514,1893,297,194,Free State
65,FS203,Ngwathe,19448,146,455,365,1430,276,189,Free State
66,FS204,Metsimaholo,24656,184,506,367,1712,242,233,Free State
67,FS205,Mafube,10047,64,207,190,631,112,88,Gauteng
68,GT421,Emfuleni,125864,935,1888,1892,8436,1079,1033,Gauteng
69,GT423,Lesedi,15655,117,248,216,903,97,112,Gauteng
70,GT481,Mogale City,55889,409,730,720,3194,470,431,Gauteng
71,GT482,Randfontein,23340,194,358,274,1398,202,191,Gauteng
72,GT483,Westonaria,18733,220,379,271,1026,176,170,KwaZulu-Natal
73,KZN211,Vulamehlo,14264,254,341,512,558,297,330,KwaZulu-Natal
74,KZN212,Umdoni,13307,152,257,230,714,189,157,KwaZulu-Natal
75,KZN213,Umzumbe,30050,613,616,727,1042,403,367,KwaZulu-Natal
76,KZN214,UMuziwabantu,18482,210,351,601,476,276,213,KwaZulu-Natal
77,KZN215,Ezingoleni,10099,75,136,152,241,94,81,KwaZulu-Natal
78,KZN221,uMshwathi,19881,185,358,351,694,270,303,KwaZulu-Natal
79,KZN222,uMngeni,14398,134,454,348,965,137,196,KwaZulu-Natal
80,KZN223,Mpofana,6672,63,142,149,234,76,78,KwaZulu-Natal
81,KZN224,Impendle,6248,130,108,144,236,50,57,KwaZulu-Natal
82,KZN225,The Msunduzi,110617,1139,1875,1892,6008,1166,1141,KwaZulu-Natal
83,KZN226,Mkhambathini,11371,143,267,317,371,167,199,KwaZulu-Natal
84,KZN232,Emnambithi/Ladysmith,41786,396,739,788,1963,492,348,KwaZulu-Natal
85,KZN233,Indaka,19732,222,334,405,624,231,243,KwaZulu-Natal
86,KZN234,Umtshezi,14330,136,321,277,690,212,177,KwaZulu-Natal
87,KZN235,Okhahlamba,24193,233,429,425,743,277,219,KwaZulu-Natal
88,KZN236,Imbabazane,21243,356,425,332,752,301,211,KwaZulu-Natal
89,KZN242,Nqutu,32130,254,625,508,1162,468,378,KwaZulu-Natal
90,KZN244,Msinga,32436,407,662,565,955,545,560,KwaZulu-Natal
91,KZN245,Umvoti,18837,315,329,453,708,261,220,KwaZulu-Natal
92,KZN252,Newcastle,69509,574,1286,1064,4016,593,551,KwaZulu-Natal
93,KZN254,Dannhauser,20307,252,396,387,983,206,170,KwaZulu-Natal
94,KZN261,eDumbe,15297,173,271,260,496,250,165,KwaZulu-Natal
95,KZN262,UPhongolo,25623,289,541,504,925,565,257,KwaZulu-Natal
96,KZN263,Abaqulusi,38549,347,768,740,1779,504,450,KwaZulu-Natal
97,KZN265,Nongoma,38777,603,966,893,1422,825,618,KwaZulu-Natal
98,KZN266,Ulundi,35212,336,740,737,1112,559,532,KwaZulu-Natal
99,KZN272,Jozini,37341,582,943,877,1303,626,505,KwaZulu-Natal
100,KZN273,The Big 5 False Bay,6550,103,118,111,176,121,92,KwaZulu-Natal
101,KZN274,Hlabisa,14134,149,377,283,590,163,180,KwaZulu-Natal
102,KZN275,Mtubatuba,31423,379,643,596,1187,479,392,KwaZulu-Natal
103,KZN281,Mfolozi,22461,180,329,385,655,323,195,KwaZulu-Natal
104,KZN283,Ntambanana,14448,145,315,275,437,191,179,KwaZulu-Natal
105,KZN284,uMlalazi,40130,547,889,1162,1694,587,560,KwaZulu-Natal
106,KZN285,Mthonjaneni,8674,70,157,243,242,131,101,KwaZulu-Natal
107,KZN286,Nkandla,21887,439,584,488,774,454,424,KwaZulu-Natal
108,KZN291,Mandeni,25727,306,501,551,1185,312,428,KwaZulu-Natal
109,KZN293,Ndwedwe,26298,498,644,756,1017,697,583,KwaZulu-Natal
110,KZN294,Maphumulo,18278,215,385,366,592,293,193,KwaZulu-Natal
111,KZN431,Ingwe,18958,287,516,501,708,260,429,KwaZulu-Natal
112,KZN432,Kwa Sani,2087,11,54,52,93,23,14,KwaZulu-Natal
113,KZN434,Ubuhlebezwe,18905,186,367,397,652,250,246,KwaZulu-Natal
114,KZN435,Umzimkhulu,35973,661,583,791,933,503,326,Limpopo
115,LIM331,Greater Giyani,53598,267,457,385,1107,360,290,Limpopo
116,LIM332,Greater Letaba,46492,236,516,343,974,357,267,Limpopo
117,LIM333,Greater Tzaneen,77413,464,869,715,2080,670,493,Limpopo
118,LIM335,Maruleng,19352,120,277,195,542,162,160,Limpopo
119,LIM341,Musina,12006,76,99,86,294,82,87,Limpopo
120,LIM342,Mutale,19187,84,155,153,381,135,123,Limpopo
121,LIM343,Thulamela,132916,808,1341,3917,3469,1188,831,Limpopo
122,LIM344,Makhado,102251,595,1110,956,3119,772,753,Limpopo
123,LIM351,Blouberg,34108,185,302,246,630,277,197,Limpopo
124,LIM353,Molemole,20869,157,298,206,752,219,137,Limpopo
125,LIM354,Polokwane,122419,810,1571,1211,4803,1080,816,Limpopo
126,LIM355,Lepele-Nkumpi,44501,311,431,367,995,400,262,Limpopo
127,LIM361,Thabazimbi,11896,163,164,130,413,113,121,Limpopo
128,LIM362,Lephalale,20598,185,246,170,603,209,136,Limpopo
129,LIM365,Modimolle,11590,109,201,153,467,105,95,Limpopo
130,LIM366,Bela-Bela,10351,100,144,121,404,94,77,Eastern Cape
131,BUF,Buffalo City,124098,1000,1553,1740,5861,1155,1080,Eastern Cape
132,EC101,Camdeboo,7547,54,58,65,275,70,53,Eastern Cape
133,EC105,Ndlambe,8590,77,153,136,360,98,76,Eastern Cape
134,EC122,Mnquma,45353,643,966,1059,1833,731,515,Eastern Cape
135,EC128,Nxuba,3587,27,54,43,155,29,25,Eastern Cape
136,EC135,Intsika Yethu,24728,300,478,532,823,344,268,Eastern Cape
137,EC144,Gariep,5445,56,104,93,272,70,56,Eastern Cape
138,EC157,King Sabata Dalindyebo,91571,731,1582,1503,3303,1127,1090,Eastern Cape
139,NMA,Nelson Mandela Bay,187720,1555,2156,2479,7833,2124,1630,Eastern Cape
140,FS164,Naledi,4534,39,110,145,286,56,45,Free State
141,FS191,Setsoto,20129,175,484,481,1428,250,160,Free State
142,FS196,Mantsopa,9046,88,221,207,685,168,83,Free State
143,MAN,Mangaung,135217,1259,2373,3022,11281,1379,1217,Free State
144,EKU,Ekurhuleni,514167,3756,6330,6134,25792,4011,3824,Gauteng
145,GT422,Midvaal,13597,137,210,215,679,109,110,Gauteng
146,GT484,Merafong City,30222,291,537,487,1877,268,247,Gauteng
147,JHB,City of Johannesburg,696041,5228,7374,7550,33213,5322,5133,Gauteng
148,TSH,City of Tshwane,476983,4013,5662,5575,23709,3663,3627,Gauteng
149,ETH,eThekwini,609851,5059,8396,9150,30251,6078,5875,KwaZulu-Natal
150,KZN216,Hibiscus Coast,43764,409,718,859,1630,501,455,KwaZulu-Natal
151,KZN227,Richmond,11341,207,303,292,503,288,197,KwaZulu-Natal
152,KZN241,Endumeni,11375,82,193,165,601,109,98,KwaZulu-Natal
153,KZN253,Emadlangeni,5991,60,121,125,238,62,59,KwaZulu-Natal
154,KZN271,Umhlabuyalingana,30899,266,416,714,909,405,306,KwaZulu-Natal
155,KZN282,uMhlathuze,60660,477,817,821,2790,581,527,KwaZulu-Natal
156,KZN292,KwaDukuza,41865,417,711,793,2052,467,441,KwaZulu-Natal
157,KZN433,Greater Kokstad,12528,81,161,157,491,94,104,KwaZulu-Natal
158,LIM334,Ba-Phalaborwa,27961,135,240,217,760,210,148,KwaZulu-Natal
159,LIM352,Aganang,25846,188,420,334,926,262,197,Limpopo
160,LIM364,Mookgopong,5667,39,54,66,159,39,39,Limpopo
161,LIM367,Mogalakwena,59917,461,945,707,2663,709,485,Limpopo
162,LIM471,Ephraim Mogale,23292,208,379,294,781,235,206,Limpopo
163,LIM472,Elias Motsoaledi,48231,418,814,667,1812,628,468,Limpopo
164,LIM473,Makhuduthamaga,51769,347,687,511,1297,578,330,Limpopo
165,LIM474,Fetakgomo,17448,149,177,191,298,234,153,Limpopo
166,LIM475,Greater Tubatse,65624,374,841,623,1502,644,485,Limpopo
167,MP301,Albert Luthuli,39205,281,728,658,1992,341,326,Limpopo
168,MP302,Msukaligwa,26802,217,547,400,1691,351,258,Mpumalanga
169,MP304,Pixley Ka Seme,14767,131,290,246,723,161,122,Mpumalanga
170,MP305,Lekwa,19155,132,370,297,1216,187,172,Mpumalanga
171,MP306,Dipaleseng,7278,66,159,128,430,82,86,Mpumalanga
172,MP307,Govan Mbeki,50433,468,867,796,3102,511,548,Mpumalanga
173,MP312,Emalahleni,67890,515,965,818,3482,611,518,Mpumalanga
174,MP313,Steve Tshwete,36890,297,523,506,1698,323,341,Mpumalanga
175,MP314,Emakhazeni,7782,59,149,109,547,58,58,Mpumalanga
176,MP315,Thembisile,60807,446,999,1018,2745,554,498,Mpumalanga
177,MP316,Dr JS Moroka,48911,361,712,654,2051,457,433,Mpumalanga
178,MP321,Thaba Chweu,15079,131,207,190,604,185,151,Mpumalanga
179,MP323,Umjindi,11123,60,150,119,447,80,67,Mpumalanga
180,MP324,Nkomazi,84589,586,1073,811,2296,789,721,Mpumalanga
181,MP325,Bushbuckridge,117364,637,1057,921,2429,885,679,Mpumalanga
182,NW371,Moretele,33048,303,449,503,1388,353,248,Mpumalanga
183,NW372,Madibeng,78853,760,1134,1054,3513,768,664,North West
184,NW374,Kgetlengrivier,7803,85,130,178,353,94,92,North West
185,NW375,Moses Kotane,38860,329,624,563,1759,395,310,North West
186,NW381,Ratlou,18192,230,476,597,966,313,232,North West
187,NW382,Tswaing,21968,187,452,580,1024,290,219,North West
188,NW383,Mafikeng,53151,539,1021,1236,3410,621,569,North West
189,NW385,Ramotshere Moiloa,23856,209,403,391,963,301,237,North West
190,NW392,Naledi,10954,125,225,282,615,158,153,North West
191,NW393,Mamusa,10429,89,216,204,472,109,124,North West
192,NW394,Greater Taung,31464,311,724,1299,1872,405,332,North West
193,NW397,Kagisano/Molopo,17272,212,602,647,1253,279,303,North West
194,NW401,Ventersdorp,9277,138,227,295,436,150,115,North West
195,NW402,Tlokwe City Council,30135,210,399,411,1516,252,226,North West
196,NW403,City of Matlosana,64452,547,1355,1279,4181,662,583,North West
197,NW404,Maquassi Hills,12962,138,336,293,718,191,204,North West
198,NC061,Richtersveld,1599,12,21,14,78,17,12,North West
199,NC064,Kamiesberg,1191,14,24,23,89,17,15,Northern Cape
200,NC065,Hantam,3120,19,31,27,104,14,23,Northern Cape
201,NC066,Karoo Hoogland,1504,14,26,22,104,23,19,Northern Cape
202,NC067,Khâi-Ma,2038,18,57,27,74,35,22,Northern Cape
203,NC072,Umsobomvu,4341,40,86,66,251,52,37,Northern Cape
204,NC073,Emthanjeni,6583,54,67,63,285,59,44,Northern Cape
205,NC074,Kareeberg,1600,16,27,17,87,32,20,Northern Cape
206,NC075,Renosterberg,1566,12,17,9,82,9,17,Northern Cape
207,NC076,Thembelihle,2529,7,31,25,92,14,22,Northern Cape
208,NC078,Siyancuma,5696,47,77,92,205,78,48,Northern Cape
209,NC081,Mier,1021,10,11,16,40,14,9,Northern Cape
210,NC082,Kai !Garib,12733,87,188,165,430,119,110,Northern Cape
211,NC083,//Khara Hais,15392,130,158,238,557,232,138,Northern Cape
212,NC084,!Kheis,2278,27,21,28,70,20,13,Northern Cape
213,NC086,Kgatelopele,3070,37,56,36,169,51,30,Northern Cape
214,NC091,Sol Plaatjie,40181,326,618,738,2357,495,332,Northern Cape
215,NC092,Dikgatlong,7443,74,163,146,451,128,61,Northern Cape
216,NC093,Magareng,4056,33,74,67,237,50,41,Northern Cape
217,NC451,Joe Morolong,14934,330,436,745,760,318,150,Northern Cape
218,NC452,Ga-Segonyana,16419,133,291,265,874,238,145,Northern Cape
219,NC453,Gamagara,6465,59,96,118,261,92,52,Northern Cape
220,CPT,City of Cape Town,600926,4338,6235,6445,23405,5150,4745,Northern Cape
221,WC011,Matzikama,10007,99,139,120,337,125,117,Western Cape
222,WC013,Bergrivier,8694,73,71,83,225,62,59,Western Cape
223,WC014,Saldanha Bay,15670,99,153,145,520,114,106,Western Cape
224,WC015,Swartland,16796,100,154,126,479,150,102,Western Cape
225,WC022,Witzenberg,19911,89,154,112,536,123,114,Western Cape
226,WC023,Drakenstein,41523,226,285,319,1111,504,240,Western Cape
227,WC025,Breede Valley,26768,214,273,268,803,278,223,Western Cape
228,WC026,Langeberg,15436,120,186,143,372,143,122,Western Cape
229,WC031,Theewaterskloof,16956,100,138,127,374,131,108,Western Cape
230,WC032,Overstrand,10565,73,134,106,351,78,75,Western Cape
231,WC034,Swellendam,5373,51,33,47,108,43,45,Western Cape
232,WC041,Kannaland,3683,33,35,48,125,47,45,Western Cape
233,WC042,Hessequa,7007,37,41,59,212,59,53,Western Cape
234,WC043,Mossel Bay,12245,102,144,125,365,145,116,Western Cape
